arm,seed,step,val_primary,val_nmae,emulator_val_primary,naive_val_primary,prefix_cost_s,selected
F_FULL,92711,0,0.24780562359727362,0.3531245290059376,,,10.851583700045012,False
F_FULL,92711,16,0.24547171694522169,0.35018602970532475,,,36.783669199969154,False
F_FULL,92711,32,0.2442384482486654,0.34892529757903584,,,62.11670479993336,False
F_FULL,92711,64,0.241403248491965,0.3459987984491329,,,107.95825969992438,True
F_FULL,92711,128,0.2414297925405376,0.3465321147030446,,,194.98565939976834,False
F_TOP3,92711,0,0.24780562359727362,0.3531245290059376,,,10.054615499975625,False
F_TOP3,92711,16,0.2463934897628613,0.35144079466008366,,,22.310988200071733,False
F_TOP3,92711,32,0.2455500600231863,0.35046525028340314,,,34.020225600048434,False
F_TOP3,92711,64,0.24412698180323467,0.3489021719217096,,,53.301891300070565,False
F_TOP3,92711,128,0.24222469779947117,0.3471561698990544,,,88.67190939991269,True
E_EMLOC,92711,0,0.24780562359727362,0.3531245290059376,0.24675469865725183,0.24780562359727362,27.741549999976996,False
E_EMLOC,92711,16,0.24568363495499068,0.3505996243794479,0.24450509551136293,0.24584634864750898,56.150655799836386,False
E_EMLOC,92711,32,0.24441474250563483,0.34897667368334445,0.24343444274951404,0.24457869645469274,84.46849969989853,False
E_EMLOC,92711,64,0.24165236708328722,0.34613826322803437,0.24064804874719334,0.24186034021767952,135.49230360006914,False
E_EMLOC,92711,128,0.24158452707853695,0.34660805156322655,0.24042215275933487,0.2418041475407659,232.20786600047722,True
E_DELTA,92711,0,0.24780562359727362,0.3531245290059376,0.247805622831108,,97.0665046001086,False
E_DELTA,92711,16,0.24583125015588358,0.35075363167677776,0.245787039194468,,125.81959719996667,False
E_DELTA,92711,32,0.24475357918680185,0.34957769432872315,0.2447366484242444,,153.75094109983183,False
E_DELTA,92711,64,0.2422574621534738,0.34701166644406134,0.2423111473827371,,204.68763109960128,True
E_DELTA,92711,128,0.24256914027727772,0.347805178362883,0.2424583899696609,,300.42183249944355,False
