arm,seed,step,emulator_training_val_primary,transferred_val_primary,transfer_gap,train_vs_actual_sigma_rmse,naive_val_primary
E_EMLOC,92711,0,0.24675469865725183,0.24780562359727362,0.0010509249400217913,0.9856443337544096,0.24780562359727362
E_EMLOC,92711,16,0.24450509551136293,0.24568363495499068,0.0011785394436277519,0.978447404463242,0.24584634864750898
E_EMLOC,92711,32,0.24343444274951404,0.24441474250563483,0.000980299756120795,0.9511749296160653,0.24457869645469274
E_EMLOC,92711,64,0.24064804874719334,0.24165236708328722,0.001004318336093879,0.85602162003836,0.24186034021767952
E_EMLOC,92711,128,0.24042215275933487,0.24158452707853695,0.0011623743192020752,0.9149419093147966,0.2418041475407659
E_DELTA,92711,0,0.247805622831108,0.24780562359727362,7.661656309387865e-10,1.2857369476367463e-06,
E_DELTA,92711,16,0.245787039194468,0.24583125015588358,4.421096141557501e-05,0.076560663783277,
E_DELTA,92711,32,0.2447366484242444,0.24475357918680185,1.6930762557459955e-05,0.11884512322534199,
E_DELTA,92711,64,0.2423111473827371,0.2422574621534738,-5.368522926330055e-05,0.20018492672171817,
E_DELTA,92711,128,0.2424583899696609,0.24256914027727772,0.0001107503076168137,0.16393788919933813,
E_VALUE_DELTA,92711,0,0.24780562155187802,0.24780562359727362,2.0453956028898546e-09,1.2862160292616712e-06,
E_VALUE_DELTA,92711,16,0.24564628283428386,0.245744062996462,9.778016217815155e-05,0.08752014615343356,
E_VALUE_DELTA,92711,32,0.24454496948931012,0.24454739962997638,2.4301406662541325e-06,0.12215304495660487,
E_VALUE_DELTA,92711,64,0.24205781787102298,0.24206808503303998,1.0267162016991405e-05,0.18491262244798812,
E_VALUE_DELTA,92711,128,0.24244510456450585,0.24262116834779546,0.00017606378328960393,0.1989205242364127,
E_RESPONSE_DELTA,92711,0,0.2478056212669118,0.24780562359727362,2.3303618201797605e-09,1.2815242423078154e-06,
E_RESPONSE_DELTA,92711,16,0.24555016855075476,0.24544182301670248,-0.00010834553405228431,0.12646229824987187,
E_RESPONSE_DELTA,92711,32,0.2446516340979585,0.24433666944471472,-0.0003149646532437933,0.1923701886389663,
E_RESPONSE_DELTA,92711,64,0.24283560115877942,0.24227006450014943,-0.0005655366586299893,0.30950929034983826,
E_RESPONSE_DELTA,92711,128,0.24273010928633607,0.2423816505826536,-0.00034845870368246934,0.3101932213668409,
E_EMLOC,92712,0,0.24675469865725183,0.24780562359727362,0.0010509249400217913,0.9856443337544096,0.24780562359727362
E_EMLOC,92712,16,0.24344767255082292,0.24479208770305486,0.001344415152231937,0.9676693889764574,0.24484421893821556
E_EMLOC,92712,32,0.24201148643241108,0.2435506849950593,0.0015391985626482252,0.9699132524783762,0.24361402589477177
E_EMLOC,92712,64,0.24143122058645394,0.24314409425155278,0.0017128736650988408,0.9901355815795548,0.2431829468261596
E_EMLOC,92712,128,0.23985830779069045,0.24127616353801556,0.001417855747325114,0.9849857154487458,0.24130325415847403
E_DELTA,92712,0,0.247805622831108,0.24780562359727362,7.661656309387865e-10,1.2857369476367463e-06,
E_DELTA,92712,16,0.24462335168626523,0.2446866826632431,6.333097697786005e-05,0.12566912922076448,
E_DELTA,92712,32,0.2431818504447414,0.24342008724083675,0.00023823679609535908,0.15226545097049818,
E_DELTA,92712,64,0.2429674996934789,0.2430789343284043,0.00011143463492541139,0.19053542839018198,
E_DELTA,92712,128,0.24151289099923018,0.24172758457437757,0.00021469357514738996,0.1826502586024438,
E_VALUE_DELTA,92712,0,0.24780562155187802,0.24780562359727362,2.0453956028898546e-09,1.2862160292616712e-06,
E_VALUE_DELTA,92712,16,0.24501454604436207,0.24507195074040894,5.740469604686993e-05,0.1754493828596685,
E_VALUE_DELTA,92712,32,0.24345823162516825,0.24369314362757263,0.00023491200240438603,0.1755033743196193,
E_VALUE_DELTA,92712,64,0.24324556942208866,0.24320365030383218,-4.191911825648931e-05,0.22887253586448483,
E_VALUE_DELTA,92712,128,0.24211728099195098,0.24222132032363838,0.00010403933168739998,0.18137592937226268,
E_RESPONSE_DELTA,92712,0,0.2478056212669118,0.24780562359727362,2.3303618201797605e-09,1.2815242423078154e-06,
E_RESPONSE_DELTA,92712,16,0.24534272224203998,0.24511761528327602,-0.0002251069587639598,0.1201862183156313,
E_RESPONSE_DELTA,92712,32,0.24417507395617477,0.24368217598929315,-0.0004928979668816225,0.13880088248138134,
E_RESPONSE_DELTA,92712,64,0.24364850814363867,0.2430473396832651,-0.0006011684603735579,0.25340169767079646,
E_RESPONSE_DELTA,92712,128,0.2423820095369024,0.24188365223958674,-0.0004983572973156492,0.2781741545833831,
