arm,seed,variant,origin,timestamp,primary
F0,0,reference_f0,42048,2024-10-19T00:10:00.000000000,0.12406121882157399
F0,0,reference_f0,42192,2024-10-20T00:10:00.000000000,0.10455254161014943
F0,0,reference_f0,42336,2024-10-21T00:10:00.000000000,0.11487118927267234
F0,0,reference_f0,42480,2024-10-22T00:10:00.000000000,0.2699240808177751
F0,0,reference_f0,42624,2024-10-23T00:10:00.000000000,0.1401521888331335
F0,0,reference_f0,42768,2024-10-24T00:10:00.000000000,0.2062199806676946
F0,0,reference_f0,42912,2024-10-25T00:10:00.000000000,0.10714899782193565
F0,0,reference_f0,43056,2024-10-26T00:10:00.000000000,0.13024344512424407
F0,0,reference_f0,43200,2024-10-27T00:10:00.000000000,0.14609560857835255
F0,0,reference_f0,43344,2024-10-28T00:10:00.000000000,0.11803943300343882
F0,0,reference_f0,43488,2024-10-29T00:10:00.000000000,0.15417492629051985
F0,0,reference_f0,43632,2024-10-30T00:10:00.000000000,0.1455692827324934
F0,0,reference_f0,43776,2024-10-31T00:10:00.000000000,0.12116018556138497
F0,0,reference_f0,43920,2024-11-01T00:10:00.000000000,0.13918753035237946
F0,0,reference_f0,44064,2024-11-02T00:10:00.000000000,0.31777947105335513
F0,0,reference_f0,44208,2024-11-03T00:10:00.000000000,0.15622624971501395
F0,0,reference_f0,44352,2024-11-04T00:10:00.000000000,0.18671843728475968
F0,0,reference_f0,44496,2024-11-05T00:10:00.000000000,0.13763485852379
F0,0,reference_f0,44640,2024-11-06T00:10:00.000000000,0.1908289391727196
F0,0,reference_f0,44784,2024-11-07T00:10:00.000000000,0.17229462777719026
F0,0,reference_f0,44928,2024-11-08T00:10:00.000000000,0.1392093065868808
F0,0,reference_f0,45072,2024-11-09T00:10:00.000000000,0.191154189903282
F0,0,reference_f0,45216,2024-11-10T00:10:00.000000000,0.12197291434199149
F0,0,reference_f0,45360,2024-11-11T00:10:00.000000000,0.20053510837718797
F0,0,reference_f0,45504,2024-11-12T00:10:00.000000000,0.23394715594758692
F0,0,reference_f0,45648,2024-11-13T00:10:00.000000000,0.12575728980740297
F0,0,reference_f0,45792,2024-11-14T00:10:00.000000000,0.20680504059187568
F0,0,reference_f0,45936,2024-11-15T00:10:00.000000000,0.1367685448420492
F0,0,reference_f0,46080,2024-11-16T00:10:00.000000000,0.13298828632072476
F0,0,reference_f0,46224,2024-11-17T00:10:00.000000000,0.1572591361288157
F0,0,reference_f0,46368,2024-11-18T00:10:00.000000000,0.15527833011628436
F0,0,reference_f0,46512,2024-11-19T00:10:00.000000000,0.4694471192848563
F0,0,reference_f0,46656,2024-11-20T00:10:00.000000000,0.14337736552705216
F0,0,reference_f0,46800,2024-11-21T00:10:00.000000000,0.1765233344012463
F0,0,reference_f0,46944,2024-11-22T00:10:00.000000000,0.18377849081535472
F0,0,reference_f0,47088,2024-11-23T00:10:00.000000000,0.19132570805724053
F0,0,reference_f0,47232,2024-11-24T00:10:00.000000000,0.3253466465769333
F0,0,reference_f0,47376,2024-11-25T00:10:00.000000000,0.18684711855673844
F0,0,reference_f0,47520,2024-11-26T00:10:00.000000000,0.3171970945907395
F0,0,reference_f0,47664,2024-11-27T00:10:00.000000000,0.2287927476853333
F0,0,reference_f0,47808,2024-11-28T00:10:00.000000000,0.2630265862388348
F0,0,reference_f0,47952,2024-11-29T00:10:00.000000000,0.1665556585658002
F0,0,reference_f0,48096,2024-11-30T00:10:00.000000000,0.16257437535219948
F0,0,reference_f0,48240,2024-12-01T00:10:00.000000000,0.14039582417902616
F0,0,reference_f0,48384,2024-12-02T00:10:00.000000000,0.16013171996065323
F0,0,reference_f0,48528,2024-12-03T00:10:00.000000000,0.17494499208213804
F0,0,reference_f0,48672,2024-12-04T00:10:00.000000000,0.10609587905137789
F0,0,reference_f0,48816,2024-12-05T00:10:00.000000000,0.2203979228742887
F0,0,reference_f0,48960,2024-12-06T00:10:00.000000000,0.29003404105272373
F0,0,reference_f0,49104,2024-12-07T00:10:00.000000000,0.25346561028001874
F0,0,reference_f0,49248,2024-12-08T00:10:00.000000000,0.27143633028535546
F0,0,reference_f0,49392,2024-12-09T00:10:00.000000000,0.17964587003539378
F0,0,reference_f0,49536,2024-12-10T00:10:00.000000000,0.12537361200447675
F0,0,reference_f0,49680,2024-12-11T00:10:00.000000000,0.14284756277850155
F0,0,reference_f0,49824,2024-12-12T00:10:00.000000000,0.10466897204587462
F0,0,reference_f0,49968,2024-12-13T00:10:00.000000000,0.1252593527745327
F0,0,reference_f0,50112,2024-12-14T00:10:00.000000000,0.11411850014438654
F0,0,reference_f0,50256,2024-12-15T00:10:00.000000000,0.1966736809658165
F0,0,reference_f0,50400,2024-12-16T00:10:00.000000000,0.1522857007745988
F0,0,reference_f0,50544,2024-12-17T00:10:00.000000000,0.09186679773941503
F0,0,reference_f0,50688,2024-12-18T00:10:00.000000000,0.32908290608684193
F0,0,reference_f0,50832,2024-12-19T00:10:00.000000000,0.3026803815106932
F0,0,reference_f0,50976,2024-12-20T00:10:00.000000000,0.1241443151837229
F0,0,reference_f0,51120,2024-12-21T00:10:00.000000000,0.3056769402336931
F0,0,reference_f0,51264,2024-12-22T00:10:00.000000000,0.2938073112545196
F0,0,reference_f0,51408,2024-12-23T00:10:00.000000000,0.1418966900093249
F0,0,reference_f0,51552,2024-12-24T00:10:00.000000000,0.11465277551273316
F0,0,reference_f0,51696,2024-12-25T00:10:00.000000000,0.14580749505865226
F0,0,reference_f0,51840,2024-12-26T00:10:00.000000000,0.1502413617124935
F0,0,reference_f0,51984,2024-12-27T00:10:00.000000000,0.18368018603651665
F0,0,reference_f0,52128,2024-12-28T00:10:00.000000000,0.14897229879286739
F0,0,reference_f0,52272,2024-12-29T00:10:00.000000000,0.16039950521503832
F0,0,reference_f0,52416,2024-12-30T00:10:00.000000000,0.13856246324926463
F0,0,reference_f0,52560,2024-12-31T00:10:00.000000000,0.11486905044416862
F_FULL,92711,selected,42048,2024-10-19T00:10:00.000000000,0.1422963540757171
F_FULL,92711,selected,42192,2024-10-20T00:10:00.000000000,0.1042695177664638
F_FULL,92711,selected,42336,2024-10-21T00:10:00.000000000,0.11506183632181885
F_FULL,92711,selected,42480,2024-10-22T00:10:00.000000000,0.2523331092931245
F_FULL,92711,selected,42624,2024-10-23T00:10:00.000000000,0.1422925485611928
F_FULL,92711,selected,42768,2024-10-24T00:10:00.000000000,0.17960454507242207
F_FULL,92711,selected,42912,2024-10-25T00:10:00.000000000,0.10341685123622826
F_FULL,92711,selected,43056,2024-10-26T00:10:00.000000000,0.13114472264938093
F_FULL,92711,selected,43200,2024-10-27T00:10:00.000000000,0.13028289167055254
F_FULL,92711,selected,43344,2024-10-28T00:10:00.000000000,0.12296846779441326
F_FULL,92711,selected,43488,2024-10-29T00:10:00.000000000,0.15256097837845692
F_FULL,92711,selected,43632,2024-10-30T00:10:00.000000000,0.14311218058905512
F_FULL,92711,selected,43776,2024-10-31T00:10:00.000000000,0.11925575273384247
F_FULL,92711,selected,43920,2024-11-01T00:10:00.000000000,0.13922808035566833
F_FULL,92711,selected,44064,2024-11-02T00:10:00.000000000,0.33352686628168987
F_FULL,92711,selected,44208,2024-11-03T00:10:00.000000000,0.1640824662390492
F_FULL,92711,selected,44352,2024-11-04T00:10:00.000000000,0.1806094220950401
F_FULL,92711,selected,44496,2024-11-05T00:10:00.000000000,0.12970998144715556
F_FULL,92711,selected,44640,2024-11-06T00:10:00.000000000,0.18011088111989973
F_FULL,92711,selected,44784,2024-11-07T00:10:00.000000000,0.17546824434021427
F_FULL,92711,selected,44928,2024-11-08T00:10:00.000000000,0.12984293503637753
F_FULL,92711,selected,45072,2024-11-09T00:10:00.000000000,0.1839371334127028
