candidate,baseline,mean_gain_pct,ci_low,ci_high,seed1_gain_pct,seed2_gain_pct,blocks
E_RESPONSE_DELTA,F_FULL,-0.4291868409387442,-0.9201185016103073,0.02116142399636427,-0.43859922003197915,-0.41983652878091,11
E_RESPONSE_DELTA,F_TOP3,-0.015804079030018223,-0.7397340128574561,0.6132320329507575,0.10966676419085775,-0.1407834043234952,11
E_RESPONSE_DELTA,E_EMLOC,0.1393021019355521,-0.4455053807279146,0.7688523259413856,0.16849563966307093,0.11027873791090888,11
E_RESPONSE_DELTA,E_DELTA,0.014325064957032103,-0.25171965939068425,0.3003035585577126,-0.10488057786643652,0.13248592357398914,11
E_RESPONSE_DELTA,E_VALUE_DELTA,-0.01585218708339433,-0.18339576565220778,0.16492853856517353,-0.16207795428169236,0.12901424227973898,11
F_TOP3,F_FULL,-0.4133174408937223,-1.1183925864084088,0.1932564998055381,-0.5488679098993055,-0.27866081627374895,11
E_EMLOC,F_FULL,-0.5692819646169477,-0.9891724765554093,-0.12323905470846003,-0.6081195145610256,-0.5307005165235277,11
E_DELTA,F_FULL,-0.44357544836688834,-0.8194271576238447,-0.06815007059270714,-0.33336900282894805,-0.5530551726082028,11
E_VALUE_DELTA,F_FULL,-0.41326914165785633,-0.7930549884563586,-0.07411040478901379,-0.276073810965167,-0.549559781448559,11
E_EMLOC,E_EMLOC_NAIVE_SAME_STEP,-0.044075879080958405,-0.09808880970517393,0.018623653608896396,-0.07780009391468574,-0.010570770853012812,11
F_FULL,F0,2.2235393863370447,0.8233367460823358,3.675359023762597,2.5469836719407737,1.9000951007333158,11
F_TOP3,F0,1.8194122215321946,0.8437443342681074,2.754814413411069,2.0120953380871263,1.6267291049772479,11
E_EMLOC,F0,1.6669156304226682,0.23446105014451865,3.130113006055198,1.954352862121503,1.3794783987238182,11
E_DELTA,F0,1.7898270127727154,0.5315702814794095,3.1129250271584397,2.222105523181191,1.3575485023641936,11
E_VALUE_DELTA,F0,1.8194594468155278,0.5920448785119309,3.0493098418719917,2.277941415863394,1.3609774777676615,11
E_RESPONSE_DELTA,F0,1.8038956838475493,0.6265522101054164,2.9949624336488347,2.119555502428269,1.4882358652668608,11
