arm,seed,variant,step,primary,nmae,raw_mae,nrmse,coverage80,width80,crossing
F0,0,reference_f0,0,0.1797765782562175,0.2552665868106137,11.168963583549731,0.4236453065099631,0.7970917345917345,0.7848730986498472,0.01104743135993136
F_FULL,92711,selected,64,0.17519769816205782,0.24973241642453878,10.733351549454278,0.41387287094881775,0.8024497711997712,0.7678197196513287,0.015841511154011154
F_TOP3,92711,selected,128,0.1761593021061516,0.2510347216955637,10.801787939065282,0.413721995387983,0.8193148505648505,0.802939349701644,0.018196097883597884
E_EMLOC,92711,selected,128,0.17626310955364302,0.25179663346156994,10.749068265503022,0.41553483341022207,0.7878324753324754,0.8064582026502065,0.016312741312741314
E_DELTA,92711,selected,64,0.17578175298139995,0.2504174276652618,10.79749853851252,0.41501712632744886,0.8052427427427428,0.7812037048070684,0.014711363148863149
E_VALUE_DELTA,92711,selected,64,0.17568137312409707,0.25006015683954463,10.782578101411318,0.4149607966048671,0.8088981838981839,0.7895908114971638,0.014180251680251681
E_RESPONSE_DELTA,92711,selected,64,0.1759661138997106,0.250442136282269,10.784905851314447,0.41500056696087545,0.8067665880165881,0.7854086522275612,0.014179134491634491
E_EMLOC,92711,naive_transfer_same_step,128,0.17612608329543092,0.2516539344398479,10.743578551482795,0.4149287467637383,0.7872470684970685,0.803194790844374,0.01598607536107536
F_FULL,92712,selected,128,0.17636065230050513,0.2527183655044716,10.85410358812347,0.41514368084390274,0.7875330687830688,0.7417972248773833,0.01733876733876734
F_TOP3,92712,selected,128,0.17685210033379142,0.25234414056337795,10.873918772018266,0.4155751042527268,0.8014532389532389,0.780591119393284,0.018179563492063493
E_EMLOC,92712,selected,128,0.17729659919320817,0.2538889363823448,10.867108341305487,0.4194393206481786,0.7772772772772772,0.7651252269157885,0.01665370727870728
E_DELTA,92712,selected,128,0.17733602401049864,0.2540511623024204,10.892309054631797,0.4178842554246569,0.7913136350636351,0.7706257578050703,0.016606785356785357
E_VALUE_DELTA,92712,selected,128,0.17732985951584904,0.25389796018121114,10.917978524705159,0.41689041365321633,0.8001975189475189,0.7834565699942285,0.016018026955526954
E_RESPONSE_DELTA,92712,selected,128,0.17710107874125894,0.25338119529275105,10.85057121127176,0.4160999881407052,0.7979676104676104,0.7899509571767835,0.015868100243100244
E_EMLOC,92712,naive_transfer_same_step,128,0.17727785955690128,0.25402149256051265,10.8710115434358,0.4193721129965161,0.7732285857285858,0.770068875260286,0.01696696696696697
HEAD_PRIOR_RUN,92601,reference_prior_run,128,0.17804301898795571,0.25292325954489475,10.812979297725818,0.41276211768191295,0.8301202988702989,0.8008568460960932,0.05685171778921779
HEAD_PRIOR_RUN,92602,reference_prior_run,128,0.1776969450536286,0.2530740485887868,10.872437509775915,0.4110800651161369,0.8023916773916774,0.7755077007377394,0.0780112701987702
