origin,probe_index,value_numerator,response_numerator,response_target_mse,label,variant,L_value,L_response
6552,0,0.03579132258892059,4.347414928052018e-10,1.5064580694001961e-09,calibration,value,7.06536536966817,0.037782390565636835
7920,1,0.026955557987093925,4.2801911348533395e-08,1.3673796672719618e-07,calibration,value,11.642931980304446,0.29168941278917526
9288,2,0.7530372738838196,4.897319172414427e-08,5.3203503824761356e-08,calibration,value,15.779565053655615,0.7748493162646144
10620,3,0.013108883984386921,3.0569726305884615e-08,1.8393487266621378e-07,calibration,value,4.1472915434047275,0.15762882603635162
11988,0,0.03726936876773834,7.416103842139421e-10,2.933007170469182e-09,calibration,value,8.049021442878953,0.05734245519536336
13320,1,0.04785304144024849,7.202613971912797e-08,4.2135647504437657e-07,calibration,value,5.143461612749569,0.16697590945335444
14688,2,0.011739938519895077,6.198052071582083e-10,1.931871773663829e-09,calibration,value,2.475854063327288,0.05194534595370441
16056,3,0.009542439132928848,4.961058763797155e-08,2.931524250016082e-07,calibration,value,1.3823658428894243,0.16364898825304916
17388,0,0.00815861951559782,4.5383724556202765e-10,3.094133393943821e-09,calibration,value,0.8396762106311133,0.03465958623668309
21348,1,0.006674219388514757,1.4085645716477302e-07,8.769911232775485e-07,calibration,value,0.7102314446483428,0.15880255559299167
28728,2,0.01464187540113926,1.0004893580273233e-09,2.2537569588365614e-09,calibration,value,1.9288507241788286,0.08164756012284376
31392,3,0.014845900237560272,9.271457912518599e-08,3.0882338819537836e-07,calibration,value,0.8790446974952794,0.2908023142529604
1188,0,0.02735080197453499,1.0025512642286571e-09,4.479305371063447e-09,heldout,value,3.5101941857947643,0.06924028732982125
4068,1,0.00829187873750925,3.1230509733859435e-08,1.2747706534810277e-07,heldout,value,1.76429675945314,0.22716887107519584
6984,2,0.021549152210354805,7.5701805934969e-10,2.9853173266758404e-09,heldout,value,2.788026368519164,0.05829800229791395
9864,3,0.007132208906114101,2.337379179095933e-08,1.9860597433307703e-07,heldout,value,2.117152126223099,0.11204756654590754
12744,0,0.022326812148094177,9.794828281783907e-10,1.9871231327073247e-09,heldout,value,4.448080656554449,0.08171125109291939
15624,1,0.014175649732351303,1.218309790829153e-07,5.592571596935159e-07,heldout,value,1.7757653251351173,0.214017473488622
21132,2,0.0248543843626976,6.452013368019038e-10,4.8445385480988534e-09,heldout,value,0.8467399168679313,0.043463886378909036
31356,3,0.05336228385567665,3.080184853843093e-07,9.63472189141612e-07,heldout,value,2.166565104413117,0.31641220860753483
1152,0,0.07534050196409225,1.536306526439546e-09,3.336066978221197e-09,calibration,response,13.197785975421594,0.11519937092011087
2520,1,0.04496214538812637,1.7946048558314942e-07,3.755015143269702e-07,calibration,response,3.8214731902500656,0.46552472276655366
3852,2,0.04521537199616432,9.34127553087194e-10,1.2089397261050294e-09,calibration,response,27.893212922005834,0.08333772648555332
5220,3,0.022344550117850304,6.21357827412794e-08,3.4843111507143476e-07,calibration,response,2.3440636062664035,0.17335487944146766
6552,0,0.02419738471508026,4.697556788002544e-10,1.5064580694001961e-09,calibration,response,4.776670758050965,0.04082539352830941
7920,1,0.032462164759635925,6.012239595065694e-08,1.3673796672719618e-07,calibration,response,14.021404283704252,0.4097262439408869
9288,2,0.2781303822994232,2.357795025886844e-08,5.3203503824761356e-08,calibration,response,5.828099900362922,0.3730481513214978
10620,3,0.02352971024811268,3.294769612693926e-08,1.8393487266621378e-07,calibration,response,7.444155310779121,0.16989051878073716
11988,0,0.023518262431025505,1.0193152988335896e-09,2.933007170469182e-09,calibration,response,5.079211289739969,0.07881502618826824
13320,1,0.02787826396524906,2.532454459469591e-07,4.2135647504437657e-07,calibration,response,2.9964820671723125,0.5870908647445388
14688,2,0.02113395370543003,5.845466333198601e-10,1.931871773663829e-09,calibration,response,4.456972672138607,0.04899035494247252
16056,3,0.012650241144001484,7.345993680019092e-08,2.931524250016082e-07,calibration,response,1.8325777108116323,0.24232013581880868
17388,0,0.009852506220340729,4.680182352778672e-10,3.094133393943821e-09,calibration,response,1.0140091804132847,0.03574258953970415
21348,1,0.0075881886295974255,2.4421544253527827e-07,8.769911232775485e-07,calibration,response,0.8074907129869502,0.27533019905866724
28728,2,0.0071548642590641975,4.909474493608457e-10,2.2537569588365614e-09,calibration,response,0.9425476402034803,0.04006505523245329
31392,3,0.017495904117822647,4.954731380735211e-08,3.0882338819537836e-07,calibration,response,1.0359548088398893,0.1554067726580617
1188,0,0.056057024747133255,1.6252682533135498e-09,4.479305371063447e-09,heldout,response,7.194342693261587,0.11224766738890737
4068,1,0.007776165846735239,2.4062632775212478e-08,1.2747706534810277e-07,heldout,response,1.6545664304403798,0.1750301602255183
6984,2,0.019160861149430275,8.25685353422756e-10,2.9853173266758404e-09,heldout,response,2.4790295973906646,0.06358607438314534
9864,3,0.006802081596106291,2.7360917087548842e-08,1.9860597433307703e-07,heldout,response,2.019155874920338,0.1311607549832787
12744,0,0.026004374027252197,8.562848763382647e-10,1.9871231327073247e-09,heldout,response,5.1807464643491885,0.07143372657963766
15624,1,0.026321550831198692,1.4164929496018885e-07,5.592571596935159e-07,heldout,response,3.297266661658068,0.24883181976393912
21132,2,0.019659288227558136,9.76805969443717e-10,4.8445385480988534e-09,heldout,response,0.6697532248864984,0.06580238020054971
31356,3,0.07325240969657898,1.4218501576124254e-07,9.63472189141612e-07,heldout,response,2.974125228448182,0.1460596587629467
