origin,probe_index,value_numerator,response_numerator,response_target_mse,label,variant,L_value,L_response
1152,0,0.0057085612788796425,1.180433195635544e-09,3.336066978221197e-09,calibration,svd,0.9999982482482023,0.08851434216424381
2520,1,0.011765647679567337,3.460496245111244e-08,3.755015143269702e-07,calibration,svd,0.9999991500687618,0.08976608694139034
3852,2,0.0016210069879889488,1.6952689252391906e-10,1.2089397261050294e-09,calibration,svd,0.9999938310331884,0.015124257660972149
5220,3,0.009532389231026173,1.4871102571589745e-08,3.4843111507143476e-07,calibration,svd,0.9999989509461619,0.04148942975730764
6552,0,0.0050657326355576515,6.998140400504838e-10,1.5064580694001961e-09,calibration,svd,0.999998025955774,0.060819240449981785
7920,1,0.0023151764180511236,4.53218831353297e-08,1.3673796672719618e-07,calibration,svd,0.9999956806933895,0.3088626900465959
9288,2,0.04772229865193367,1.3164581424973676e-08,5.3203503824761356e-08,calibration,svd,0.9999997904543958,0.20828879141691134
10620,3,0.003160820109769702,2.1438509634208458e-08,1.8393487266621378e-07,calibration,svd,0.9999968362741265,0.11054489241399518
11988,0,0.0046302881091833115,5.887779708224627e-10,2.933007170469182e-09,calibration,svd,0.9999978403118408,0.04552521799932654
13320,1,0.009303654544055462,5.437847505618265e-08,4.2135647504437657e-07,calibration,svd,0.9999989251547116,0.1260638896184145
14688,2,0.0047417632304131985,2.9222838038300836e-10,1.931871773663829e-09,calibration,svd,0.9999978910843025,0.024491411400181014
16056,3,0.006902966648340225,3.658059810618397e-08,2.931524250016082e-07,calibration,svd,0.999998551349583,0.12066734450826151
17388,0,0.009716377593576908,3.351135757778678e-10,3.094133393943821e-09,calibration,svd,0.9999989708109208,0.02559265021180107
21348,1,0.009397235698997974,6.233427995994134e-08,8.769911232775485e-07,calibration,svd,0.9999989358584078,0.07027610347396489
28728,2,0.0075909742154181,6.435305066609942e-10,2.2537569588365614e-09,calibration,svd,0.9999986826477679,0.05251699611986547
31392,3,0.016888665035367012,7.624550590890067e-08,3.0882338819537836e-07,calibration,svd,0.9999994078872392,0.23914652667255581
1188,0,0.00779181020334363,7.515560396242904e-10,4.479305371063447e-09,heldout,svd,0.9999987166028298,0.05190553140251172
4068,1,0.00469981087371707,2.0628721841831066e-08,1.2747706534810277e-07,heldout,svd,0.9999978722593331,0.15005209625036375
6984,2,0.007729168049991131,7.144100866440795e-10,2.9853173266758404e-09,heldout,svd,0.9999987062013664,0.05501675998140308
9864,3,0.0033687648829072714,1.567738650010142e-08,1.9860597433307703e-07,heldout,svd,0.9999970315618147,0.07515310407682595
12744,0,0.0050194161012768745,7.945405999798538e-10,1.9871231327073247e-09,heldout,svd,0.9999980077403675,0.06628284294602091
15624,1,0.007982829585671425,1.1186329373913395e-07,5.592571596935159e-07,heldout,svd,0.9999987473129214,0.19650748670312795
21132,2,0.029353022575378418,6.942151298261479e-10,4.8445385480988534e-09,heldout,svd,0.999999659319698,0.04676569282209559
31356,3,0.02462989091873169,1.0460889399155349e-07,9.63472189141612e-07,heldout,svd,0.9999995939894344,0.10745956089798055
1152,0,0.05452730879187584,1.0745766498843068e-09,3.336066978221197e-09,calibration,value,9.551831119918557,0.08057672862915066
2520,1,0.042405806481838226,1.420224293724459e-07,3.755015143269702e-07,calibration,value,3.6042019610583838,0.36840952394284754
3852,2,0.03162217512726784,4.983242152256651e-10,1.2089397261050294e-09,calibration,value,19.507614887181813,0.04445774778011289
5220,3,0.03380906581878662,3.58614862250306e-08,3.4843111507143476e-07,calibration,value,3.546753026115865,0.10005126429351276
