arm,seed,selected_step,test_primary,total_s,preparation_s,fit_procedure_s,transfer_selection_s,diagnostic_excluded_s,total_s_sensitivity_used_train_cache_only,conservative_reload_s,unique_train_origins,main_updates_s,full_process_wall_s,active_step_mean_s,active_step_cv,throughput_steps_per_s,train_peak_allocated_mib,train_peak_reserved_mib,trainable_parameters,lora_modules,adapter_bytes,rss_mib
F_FULL,92711,64,0.17519769816205782,195.02660029975232,0.17081029998371378,194.81484909978462,0.04094089998397976,0.0,195.02660029975232,0.0,341,162.09164779965067,200.96742700005416,1.2663409984347709,0.04534214373165623,0.7896767152260133,708.1318359375,750.0,1206912,97,4827648,1758.5546875
F_TOP3,92711,128,0.1761593021061516,88.68541909992928,0.17081029998371378,88.50109909992898,0.013509700016584247,0.0,88.68541909992928,0.0,341,62.309883199923206,91.70992799999658,0.48679596249940005,0.06567048926282167,2.054248755198401,649.5869140625,698.0,322176,25,1288704,1742.6875
E_EMLOC,92711,128,0.17626310955364302,232.2488605004619,15.712205400050152,215.30502670042915,1.2316283999825828,58.71201810013736,232.2488605004619,6.181479099963326,341,181.69873210048536,284.6324677000521,1.4195213445350419,0.04224791048201168,0.7044628133630113,486.22265625,562.0,1206912,97,4827648,2307.3203125
E_DELTA,92711,64,0.17578175298139995,300.46366059948923,85.80125690007117,214.55029529938474,0.11210840003332123,31.582743200066034,267.8965325718501,5.5252946999971755,341,181.4825489995419,254.88742809998803,1.4178324140589211,0.03735838416177966,0.7053019736918237,486.95458984375,562.0,1206912,97,4827648,2406.75390625
E_VALUE_DELTA,92711,64,0.17568137312409707,312.936262400588,92.87261840002611,219.94916650047526,0.11447750008665025,32.3252309000236,279.31698023967044,5.686784599965904,341,186.60345460061217,261.1772014000453,1.4578394890672826,0.03499372311846187,0.6859465719643761,486.95458984375,562.0,1206912,97,4827648,2395.65234375
E_RESPONSE_DELTA,92711,64,0.1759661138997106,313.9845670006471,99.40206089994172,214.4651105008088,0.1173955998965539,31.548786200059112,281.33651030131983,5.470050200005062,341,181.16501060087467,254.6786600999767,1.4153516453193333,0.04157818533105614,0.7065381972791496,486.95458984375,562.0,1206912,97,4827648,2395.20703125
F_FULL,92712,128,0.17636065230050513,191.9161259001703,0.17081029998371378,191.7034891001531,0.041826500033494085,0.0,191.9161259001703,0.0,328,159.5728726001107,197.78928169998107,1.246663067188365,0.032545524695735475,0.8021413534414946,708.1318359375,750.0,1206912,97,4827648,1759.4296875
F_TOP3,92712,128,0.17685210033379142,86.09088109899312,0.17081029998371378,85.90785019902978,0.012220599979627877,0.0,86.09088109899312,0.0,328,60.84955129912123,89.0893231999944,0.4753871195243846,0.075729531645996,2.1035487898798775,649.5869140625,698.0,322176,25,1288704,1744.171875
E_EMLOC,92712,128,0.17729659919320817,234.83445429988205,15.712205400050152,217.91429689986398,1.2079519999679178,59.613095699984115,234.83445429988205,5.911472499952652,328,184.47491009987425,289.29130679997616,1.4412102351552676,0.0368490143738093,0.6938612949083489,486.22265625,562.0,1206912,97,4827648,2308.8828125
E_DELTA,92712,128,0.17733602401049864,306.7767021996551,85.80125690007117,220.85731549974298,0.11812979984097183,32.333659199939575,272.7791196114853,5.913495199929457,328,186.4725182997645,262.23737509996863,1.45681654921691,0.029081349296503457,0.686428226352546,486.95458984375,562.0,1206912,97,4827648,2401.6953125
E_VALUE_DELTA,92712,128,0.17732985951584904,315.1518085001735,92.87261840002611,222.15226960001746,0.12692050012992695,32.51143850007793,280.0627646750082,5.863407999975607,328,187.17253700003494,263.894001299981,1.462285445312773,0.052444077858316805,0.6838610089469275,486.95458984375,562.0,1206912,97,4827648,2389.51953125
E_RESPONSE_DELTA,92712,128,0.17710107874125894,317.2987342993729,99.40206089994172,217.7877797994879,0.10889359994325787,32.29209850000916,283.21189765544324,5.713906799966935,328,184.71143059956376,258.90162439999403,1.4430580515590918,0.04082353621992069,0.6929728148632633,486.95458984375,562.0,1206912,97,4827648,2389.953125
