figure,panel,series,seed,x,y,unit,source_file
fig1_transferred_quality,a,F_FULL,92711,Full LoRA+,0.17519769816205782,TEST scaled twice-pinball,SCORES.csv
fig1_transferred_quality,a,F_FULL,92712,Full LoRA+,0.17636065230050513,TEST scaled twice-pinball,SCORES.csv
fig1_transferred_quality,a,F_FULL,mean,Full LoRA+,0.17577917523128148,TEST scaled twice-pinball,SCORES.csv
fig1_transferred_quality,a,F_TOP3,92711,Top-3 LoRA+,0.1761593021061516,TEST scaled twice-pinball,SCORES.csv
fig1_transferred_quality,a,F_TOP3,92712,Top-3 LoRA+,0.17685210033379142,TEST scaled twice-pinball,SCORES.csv
fig1_transferred_quality,a,F_TOP3,mean,Top-3 LoRA+,0.1765057012199715,TEST scaled twice-pinball,SCORES.csv
fig1_transferred_quality,a,E_EMLOC,92711,EMLoC-style,0.17626310955364302,TEST scaled twice-pinball,SCORES.csv
fig1_transferred_quality,a,E_EMLOC,92712,EMLoC-style,0.17729659919320817,TEST scaled twice-pinball,SCORES.csv
fig1_transferred_quality,a,E_EMLOC,mean,EMLoC-style,0.17677985437342558,TEST scaled twice-pinball,SCORES.csv
fig1_transferred_quality,a,E_DELTA,92711,Delta,0.17578175298139995,TEST scaled twice-pinball,SCORES.csv
fig1_transferred_quality,a,E_DELTA,92712,Delta,0.17733602401049864,TEST scaled twice-pinball,SCORES.csv
fig1_transferred_quality,a,E_DELTA,mean,Delta,0.1765588884959493,TEST scaled twice-pinball,SCORES.csv
fig1_transferred_quality,a,E_VALUE_DELTA,92711,Delta+value,0.17568137312409707,TEST scaled twice-pinball,SCORES.csv
fig1_transferred_quality,a,E_VALUE_DELTA,92712,Delta+value,0.17732985951584904,TEST scaled twice-pinball,SCORES.csv
fig1_transferred_quality,a,E_VALUE_DELTA,mean,Delta+value,0.17650561631997305,TEST scaled twice-pinball,SCORES.csv
fig1_transferred_quality,a,E_RESPONSE_DELTA,92711,Delta+response,0.1759661138997106,TEST scaled twice-pinball,SCORES.csv
fig1_transferred_quality,a,E_RESPONSE_DELTA,92712,Delta+response,0.17710107874125894,TEST scaled twice-pinball,SCORES.csv
fig1_transferred_quality,a,E_RESPONSE_DELTA,mean,Delta+response,0.17653359632048476,TEST scaled twice-pinball,SCORES.csv
fig1_transferred_quality,a,HEAD_PRIOR_RUN,92601,HEAD (prior run),0.17804301898795571,TEST scaled twice-pinball,SCORES.csv
fig1_transferred_quality,a,HEAD_PRIOR_RUN,92602,HEAD (prior run),0.1776969450536286,TEST scaled twice-pinball,SCORES.csv
fig1_transferred_quality,a,HEAD_PRIOR_RUN,mean,HEAD (prior run),0.17786998202079216,TEST scaled twice-pinball,SCORES.csv
fig1_transferred_quality,a,F0,0,,0.1797765782562175,TEST scaled twice-pinball,SCORES.csv
fig1_transferred_quality,caption,F_TOP3|mean error reduction vs F_FULL,mean,,-0.4133174408937223,%,SCORES.csv
fig1_transferred_quality,caption,E_EMLOC|mean error reduction vs F_FULL,mean,,-0.5692819646169477,%,SCORES.csv
fig1_transferred_quality,caption,E_DELTA|mean error reduction vs F_FULL,mean,,-0.4435754483669199,%,SCORES.csv
fig1_transferred_quality,caption,E_VALUE_DELTA|mean error reduction vs F_FULL,mean,,-0.41326914165785633,%,SCORES.csv
fig1_transferred_quality,caption,E_RESPONSE_DELTA|mean error reduction vs F_FULL,mean,,-0.42918684093872844,%,SCORES.csv
fig2_total_cost_frontier,a,F_FULL,92711,195.02660029975232,0.17519769816205782,s | TEST scaled twice-pinball,RESOURCES.csv
