arm,seed,variant,channel,primary
E_EMLOC,92711,naive_transfer_same_step,rain (mm),0.034666025907366727
E_EMLOC,92711,naive_transfer_same_step,raining (s),0.19164124233991503
E_EMLOC,92711,naive_transfer_same_step,SWDR (W/m²),0.055537920080657874
E_EMLOC,92711,naive_transfer_same_step,PAR (µmol/m²/s),0.049394591722540515
E_EMLOC,92711,naive_transfer_same_step,max. PAR (µmol/m²/s),0.046068428914314286
E_EMLOC,92711,naive_transfer_same_step,Tlog (degC),0.13263986863082855
E_EMLOC,92711,naive_transfer_same_step,CO2 (ppm),0.22975160872508968
F_FULL,92712,selected,p (mbar),0.22069003044622948
F_FULL,92712,selected,T (degC),0.1516089226618308
F_FULL,92712,selected,Tpot (K),0.1547808002520658
F_FULL,92712,selected,Tdew (degC),0.15828174164768372
F_FULL,92712,selected,rh (%),0.2078857127450591
F_FULL,92712,selected,VPmax (mbar),0.10528552474106916
F_FULL,92712,selected,VPact (mbar),0.12823726759669518
F_FULL,92712,selected,VPdef (mbar),0.08942501189064136
F_FULL,92712,selected,sh (g/kg),0.12780613474947436
F_FULL,92712,selected,H2OC (mmol/mol),0.12822713393347487
F_FULL,92712,selected,rho (g/m**3),0.17436317753757066
F_FULL,92712,selected,wv (m/s),0.39797573874509323
F_FULL,92712,selected,max. wv (m/s),0.4009399530950466
F_FULL,92712,selected,wd (deg),0.5191274408840405
F_FULL,92712,selected,rain (mm),0.03265791937969225
F_FULL,92712,selected,raining (s),0.18712797291877659
F_FULL,92712,selected,SWDR (W/m²),0.05672455228255333
F_FULL,92712,selected,PAR (µmol/m²/s),0.049972216461031296
F_FULL,92712,selected,max. PAR (µmol/m²/s),0.04627356658510768
F_FULL,92712,selected,Tlog (degC),0.13656735747673782
F_FULL,92712,selected,CO2 (ppm),0.22961552228073415
F_TOP3,92712,selected,p (mbar),0.2220065993630574
F_TOP3,92712,selected,T (degC),0.1487054092913935
F_TOP3,92712,selected,Tpot (K),0.15199629664686615
F_TOP3,92712,selected,Tdew (degC),0.15732864708275243
F_TOP3,92712,selected,rh (%),0.20798844150989426
F_TOP3,92712,selected,VPmax (mbar),0.10246387135643162
F_TOP3,92712,selected,VPact (mbar),0.12766224218105818
F_TOP3,92712,selected,VPdef (mbar),0.08862744361879457
F_TOP3,92712,selected,sh (g/kg),0.12715868311396816
F_TOP3,92712,selected,H2OC (mmol/mol),0.12755183747234225
F_TOP3,92712,selected,rho (g/m**3),0.17278404208891068
F_TOP3,92712,selected,wv (m/s),0.4022122356249132
F_TOP3,92712,selected,max. wv (m/s),0.4074292738038726
F_TOP3,92712,selected,wd (deg),0.5259913315492345
F_TOP3,92712,selected,rain (mm),0.03435352602555668
F_TOP3,92712,selected,raining (s),0.19442141511869399
F_TOP3,92712,selected,SWDR (W/m²),0.05676621664945684
F_TOP3,92712,selected,PAR (µmol/m²/s),0.05031936663245224
F_TOP3,92712,selected,max. PAR (µmol/m²/s),0.04678126960294711
F_TOP3,92712,selected,Tlog (degC),0.13498678753115834
F_TOP3,92712,selected,CO2 (ppm),0.22635917074586487
E_EMLOC,92712,selected,p (mbar),0.22940040024745825
E_EMLOC,92712,selected,T (degC),0.1515219682325207
E_EMLOC,92712,selected,Tpot (K),0.1546774703291997
E_EMLOC,92712,selected,Tdew (degC),0.15831630165543364
E_EMLOC,92712,selected,rh (%),0.2100346873246257
E_EMLOC,92712,selected,VPmax (mbar),0.10554154018027201
E_EMLOC,92712,selected,VPact (mbar),0.1287733289226838
E_EMLOC,92712,selected,VPdef (mbar),0.08932754663266779
E_EMLOC,92712,selected,sh (g/kg),0.128375113358414
E_EMLOC,92712,selected,H2OC (mmol/mol),0.12879369958643794
E_EMLOC,92712,selected,rho (g/m**3),0.1751270481024297
E_EMLOC,92712,selected,wv (m/s),0.3995929191450646
E_EMLOC,92712,selected,max. wv (m/s),0.4028381712922068
E_EMLOC,92712,selected,wd (deg),0.5195536412664302
E_EMLOC,92712,selected,rain (mm),0.03315498127264364
E_EMLOC,92712,selected,raining (s),0.1886102311835644
E_EMLOC,92712,selected,SWDR (W/m²),0.056942022574550465
E_EMLOC,92712,selected,PAR (µmol/m²/s),0.05017800586641476
E_EMLOC,92712,selected,max. PAR (µmol/m²/s),0.04661105518312555
E_EMLOC,92712,selected,Tlog (degC),0.13765006983706102
E_EMLOC,92712,selected,CO2 (ppm),0.22820838086416667
E_DELTA,92712,selected,p (mbar),0.22574289246900142
E_DELTA,92712,selected,T (degC),0.1520744682967138
E_DELTA,92712,selected,Tpot (K),0.15530840565566786
E_DELTA,92712,selected,Tdew (degC),0.15873059282887686
E_DELTA,92712,selected,rh (%),0.2097079808768297
E_DELTA,92712,selected,VPmax (mbar),0.10579382632905125
E_DELTA,92712,selected,VPact (mbar),0.12887449866286038
E_DELTA,92712,selected,VPdef (mbar),0.08962714952599007
E_DELTA,92712,selected,sh (g/kg),0.12849301324215318
E_DELTA,92712,selected,H2OC (mmol/mol),0.12891300555590915
E_DELTA,92712,selected,rho (g/m**3),0.17521111332383996
E_DELTA,92712,selected,wv (m/s),0.398897663013314
E_DELTA,92712,selected,max. wv (m/s),0.4017379948372231
E_DELTA,92712,selected,wd (deg),0.5197112729850627
E_DELTA,92712,selected,rain (mm),0.03389012528638946
E_DELTA,92712,selected,raining (s),0.19069089506987622
E_DELTA,92712,selected,SWDR (W/m²),0.05702258387586894
E_DELTA,92712,selected,PAR (µmol/m²/s),0.05018759205871456
E_DELTA,92712,selected,max. PAR (µmol/m²/s),0.04660134325508735
E_DELTA,92712,selected,Tlog (degC),0.13763649620457183
E_DELTA,92712,selected,CO2 (ppm),0.22920359086746905
E_VALUE_DELTA,92712,selected,p (mbar),0.22569355726649695
E_VALUE_DELTA,92712,selected,T (degC),0.15107668236606256
E_VALUE_DELTA,92712,selected,Tpot (K),0.15427445644192192
E_VALUE_DELTA,92712,selected,Tdew (degC),0.15817083710264052
E_VALUE_DELTA,92712,selected,rh (%),0.21027352553971584
E_VALUE_DELTA,92712,selected,VPmax (mbar),0.10499664344531072
E_VALUE_DELTA,92712,selected,VPact (mbar),0.12839534472272374
E_VALUE_DELTA,92712,selected,VPdef (mbar),0.09008562841456871
E_VALUE_DELTA,92712,selected,sh (g/kg),0.12799026641120975
E_VALUE_DELTA,92712,selected,H2OC (mmol/mol),0.1284036559351856
E_VALUE_DELTA,92712,selected,rho (g/m**3),0.1750068389109681
E_VALUE_DELTA,92712,selected,wv (m/s),0.39891938798237997
E_VALUE_DELTA,92712,selected,max. wv (m/s),0.40282330065358773
E_VALUE_DELTA,92712,selected,wd (deg),0.5205739675729163
E_VALUE_DELTA,92712,selected,rain (mm),0.03485847267975342
E_VALUE_DELTA,92712,selected,raining (s),0.19283569866560538
E_VALUE_DELTA,92712,selected,SWDR (W/m²),0.05698195947368995
E_VALUE_DELTA,92712,selected,PAR (µmol/m²/s),0.05022494152651556
E_VALUE_DELTA,92712,selected,max. PAR (µmol/m²/s),0.046650346696841774
E_VALUE_DELTA,92712,selected,Tlog (degC),0.13678682598675374
E_VALUE_DELTA,92712,selected,CO2 (ppm),0.22890471203798154
E_RESPONSE_DELTA,92712,selected,p (mbar),0.22350093925983558
E_RESPONSE_DELTA,92712,selected,T (degC),0.15123831786628747
E_RESPONSE_DELTA,92712,selected,Tpot (K),0.1545632466327382
E_RESPONSE_DELTA,92712,selected,Tdew (degC),0.1581690221307536
E_RESPONSE_DELTA,92712,selected,rh (%),0.20932408956634627
E_RESPONSE_DELTA,92712,selected,VPmax (mbar),0.1049675228141887
E_RESPONSE_DELTA,92712,selected,VPact (mbar),0.12849789924244465
E_RESPONSE_DELTA,92712,selected,VPdef (mbar),0.08914866660046503
E_RESPONSE_DELTA,92712,selected,sh (g/kg),0.12811032594090915
E_RESPONSE_DELTA,92712,selected,H2OC (mmol/mol),0.1284804726734747
E_RESPONSE_DELTA,92712,selected,rho (g/m**3),0.17555087932155045
E_RESPONSE_DELTA,92712,selected,wv (m/s),0.3990188888090759
E_RESPONSE_DELTA,92712,selected,max. wv (m/s),0.402767533770619
E_RESPONSE_DELTA,92712,selected,wd (deg),0.5189938094276099
E_RESPONSE_DELTA,92712,selected,rain (mm),0.035128538555383414
E_RESPONSE_DELTA,92712,selected,raining (s),0.19517818994951738
E_RESPONSE_DELTA,92712,selected,SWDR (W/m²),0.0562226154696983
E_RESPONSE_DELTA,92712,selected,PAR (µmol/m²/s),0.04967762250880753
E_RESPONSE_DELTA,92712,selected,max. PAR (µmol/m²/s),0.04625462413082569
E_RESPONSE_DELTA,92712,selected,Tlog (degC),0.1369199906870796
E_RESPONSE_DELTA,92712,selected,CO2 (ppm),0.22740945820882788
E_EMLOC,92712,naive_transfer_same_step,p (mbar),0.22889697661804478
E_EMLOC,92712,naive_transfer_same_step,T (degC),0.151869093481581
E_EMLOC,92712,naive_transfer_same_step,Tpot (K),0.15504824630687952
E_EMLOC,92712,naive_transfer_same_step,Tdew (degC),0.15824769620396614
E_EMLOC,92712,naive_transfer_same_step,rh (%),0.2098408497037009
E_EMLOC,92712,naive_transfer_same_step,VPmax (mbar),0.10577896067454816
E_EMLOC,92712,naive_transfer_same_step,VPact (mbar),0.1287522984363771
E_EMLOC,92712,naive_transfer_same_step,VPdef (mbar),0.08940389940229482
E_EMLOC,92712,naive_transfer_same_step,sh (g/kg),0.12842574767554968
E_EMLOC,92712,naive_transfer_same_step,H2OC (mmol/mol),0.1288181787401162
E_EMLOC,92712,naive_transfer_same_step,rho (g/m**3),0.1751486210263124
E_EMLOC,92712,naive_transfer_same_step,wv (m/s),0.3991452020886383
E_EMLOC,92712,naive_transfer_same_step,max. wv (m/s),0.4023001178057905
E_EMLOC,92712,naive_transfer_same_step,wd (deg),0.5195999271368062
E_EMLOC,92712,naive_transfer_same_step,rain (mm),0.033226950139769944
E_EMLOC,92712,naive_transfer_same_step,raining (s),0.18857311875254518
E_EMLOC,92712,naive_transfer_same_step,SWDR (W/m²),0.056958013287010424
E_EMLOC,92712,naive_transfer_same_step,PAR (µmol/m²/s),0.0501667121177209
E_EMLOC,92712,naive_transfer_same_step,max. PAR (µmol/m²/s),0.046591506147422405
E_EMLOC,92712,naive_transfer_same_step,Tlog (degC),0.13782455813758654
E_EMLOC,92712,naive_transfer_same_step,CO2 (ppm),0.2282183768122659
