arm,seed,variant,channel,primary
F0,0,reference_f0,p (mbar),0.23077196510463246
F0,0,reference_f0,T (degC),0.14865454022751112
F0,0,reference_f0,Tpot (K),0.15169403440648935
F0,0,reference_f0,Tdew (degC),0.15793879796024266
F0,0,reference_f0,rh (%),0.21079343439418788
F0,0,reference_f0,VPmax (mbar),0.1019404733419691
F0,0,reference_f0,VPact (mbar),0.12779110103410643
F0,0,reference_f0,VPdef (mbar),0.08980336967879189
F0,0,reference_f0,sh (g/kg),0.12718932504194908
F0,0,reference_f0,H2OC (mmol/mol),0.12762589784596007
F0,0,reference_f0,rho (g/m**3),0.1726290321702484
F0,0,reference_f0,wv (m/s),0.41231714432988104
F0,0,reference_f0,max. wv (m/s),0.4179003869601462
F0,0,reference_f0,wd (deg),0.5328373211002013
F0,0,reference_f0,rain (mm),0.037766824933281186
F0,0,reference_f0,raining (s),0.20377734412838575
F0,0,reference_f0,SWDR (W/m²),0.05950322498024807
F0,0,reference_f0,PAR (µmol/m²/s),0.05274267396105578
F0,0,reference_f0,max. PAR (µmol/m²/s),0.04914028162173585
F0,0,reference_f0,Tlog (degC),0.13627446060655268
F0,0,reference_f0,CO2 (ppm),0.22621650955299075
F_FULL,92711,selected,p (mbar),0.22701521189698706
F_FULL,92711,selected,T (degC),0.14643754976681236
F_FULL,92711,selected,Tpot (K),0.14947972655126399
F_FULL,92711,selected,Tdew (degC),0.15454766295681857
F_FULL,92711,selected,rh (%),0.2051321757959208
F_FULL,92711,selected,VPmax (mbar),0.10112768083145152
F_FULL,92711,selected,VPact (mbar),0.12501659781267857
F_FULL,92711,selected,VPdef (mbar),0.08730874017777848
F_FULL,92711,selected,sh (g/kg),0.12467367731101829
F_FULL,92711,selected,H2OC (mmol/mol),0.125073670399705
F_FULL,92711,selected,rho (g/m**3),0.17099141185665664
F_FULL,92711,selected,wv (m/s),0.398963933960725
F_FULL,92711,selected,max. wv (m/s),0.404297181220955
F_FULL,92711,selected,wd (deg),0.5230725757321214
F_FULL,92711,selected,rain (mm),0.03480631273833842
F_FULL,92711,selected,raining (s),0.19248560885382493
F_FULL,92711,selected,SWDR (W/m²),0.05579417650448655
F_FULL,92711,selected,PAR (µmol/m²/s),0.04961051097151093
F_FULL,92711,selected,max. PAR (µmol/m²/s),0.046213331609258376
F_FULL,92711,selected,Tlog (degC),0.131780224633267
F_FULL,92711,selected,CO2 (ppm),0.22532369982163541
F_TOP3,92711,selected,p (mbar),0.22281108395626828
F_TOP3,92711,selected,T (degC),0.1467070680699037
F_TOP3,92711,selected,Tpot (K),0.14997020393953756
F_TOP3,92711,selected,Tdew (degC),0.15634064026205835
F_TOP3,92711,selected,rh (%),0.20685527100117002
F_TOP3,92711,selected,VPmax (mbar),0.10082802141774994
F_TOP3,92711,selected,VPact (mbar),0.12669341399997058
F_TOP3,92711,selected,VPdef (mbar),0.08787775811485884
F_TOP3,92711,selected,sh (g/kg),0.12624349927230596
F_TOP3,92711,selected,H2OC (mmol/mol),0.12663819277639937
F_TOP3,92711,selected,rho (g/m**3),0.17151757450955538
F_TOP3,92711,selected,wv (m/s),0.4014704161655259
F_TOP3,92711,selected,max. wv (m/s),0.40576844257127226
F_TOP3,92711,selected,wd (deg),0.5248096902191886
F_TOP3,92711,selected,rain (mm),0.03559344107823517
F_TOP3,92711,selected,raining (s),0.19693526804545877
F_TOP3,92711,selected,SWDR (W/m²),0.05608299020130051
F_TOP3,92711,selected,PAR (µmol/m²/s),0.049900617629177434
F_TOP3,92711,selected,max. PAR (µmol/m²/s),0.046572753217125874
F_TOP3,92711,selected,Tlog (degC),0.13289065518240836
F_TOP3,92711,selected,CO2 (ppm),0.2268383425997134
E_EMLOC,92711,selected,p (mbar),0.23114965091072054
E_EMLOC,92711,selected,T (degC),0.14857517207544543
E_EMLOC,92711,selected,Tpot (K),0.15141475577903496
E_EMLOC,92711,selected,Tdew (degC),0.15569198768686165
E_EMLOC,92711,selected,rh (%),0.20896471366372182
E_EMLOC,92711,selected,VPmax (mbar),0.10276998459942921
E_EMLOC,92711,selected,VPact (mbar),0.1259672543029008
E_EMLOC,92711,selected,VPdef (mbar),0.08854065712805075
E_EMLOC,92711,selected,sh (g/kg),0.12560152218449405
E_EMLOC,92711,selected,H2OC (mmol/mol),0.12603754272061576
E_EMLOC,92711,selected,rho (g/m**3),0.17251442108012205
E_EMLOC,92711,selected,wv (m/s),0.3996018266768848
E_EMLOC,92711,selected,max. wv (m/s),0.4040159603162486
E_EMLOC,92711,selected,wd (deg),0.520648653664931
E_EMLOC,92711,selected,rain (mm),0.03474806301941934
E_EMLOC,92711,selected,raining (s),0.1914716451043877
E_EMLOC,92711,selected,SWDR (W/m²),0.05552460248359536
E_EMLOC,92711,selected,PAR (µmol/m²/s),0.04937548607175479
E_EMLOC,92711,selected,max. PAR (µmol/m²/s),0.04601978269730818
E_EMLOC,92711,selected,Tlog (degC),0.13278131243890973
E_EMLOC,92711,selected,CO2 (ppm),0.2301103060216664
E_DELTA,92711,selected,p (mbar),0.22949433680124
E_DELTA,92711,selected,T (degC),0.14624688045040202
E_DELTA,92711,selected,Tpot (K),0.1493778612171433
E_DELTA,92711,selected,Tdew (degC),0.15480975691246424
E_DELTA,92711,selected,rh (%),0.20590137016940327
E_DELTA,92711,selected,VPmax (mbar),0.10094920504235164
E_DELTA,92711,selected,VPact (mbar),0.12530794614181928
E_DELTA,92711,selected,VPdef (mbar),0.08756836013187179
E_DELTA,92711,selected,sh (g/kg),0.12497476684336643
E_DELTA,92711,selected,H2OC (mmol/mol),0.12536007684895498
E_DELTA,92711,selected,rho (g/m**3),0.1712972595834343
E_DELTA,92711,selected,wv (m/s),0.3997917378083004
E_DELTA,92711,selected,max. wv (m/s),0.4047964646703194
E_DELTA,92711,selected,wd (deg),0.5237472948091659
E_DELTA,92711,selected,rain (mm),0.03555719230584911
E_DELTA,92711,selected,raining (s),0.1956737122868516
E_DELTA,92711,selected,SWDR (W/m²),0.05612700466195514
E_DELTA,92711,selected,PAR (µmol/m²/s),0.04983033854487463
E_DELTA,92711,selected,max. PAR (µmol/m²/s),0.046459450528983225
E_DELTA,92711,selected,Tlog (degC),0.1322294550020873
E_DELTA,92711,selected,CO2 (ppm),0.22591634184856102
E_VALUE_DELTA,92711,selected,p (mbar),0.22865160008772475
E_VALUE_DELTA,92711,selected,T (degC),0.14581987531958904
E_VALUE_DELTA,92711,selected,Tpot (K),0.14880746716449772
E_VALUE_DELTA,92711,selected,Tdew (degC),0.15448966899325484
E_VALUE_DELTA,92711,selected,rh (%),0.20587300767905461
E_VALUE_DELTA,92711,selected,VPmax (mbar),0.10060618338166162
E_VALUE_DELTA,92711,selected,VPact (mbar),0.12512358765344792
E_VALUE_DELTA,92711,selected,VPdef (mbar),0.08748925202568485
E_VALUE_DELTA,92711,selected,sh (g/kg),0.12476964234593896
E_VALUE_DELTA,92711,selected,H2OC (mmol/mol),0.12516754912269673
E_VALUE_DELTA,92711,selected,rho (g/m**3),0.17067111129506066
E_VALUE_DELTA,92711,selected,wv (m/s),0.4005622966158768
E_VALUE_DELTA,92711,selected,max. wv (m/s),0.4060759072398891
E_VALUE_DELTA,92711,selected,wd (deg),0.5240088910460496
E_VALUE_DELTA,92711,selected,rain (mm),0.03597255753478298
E_VALUE_DELTA,92711,selected,raining (s),0.19615005207718755
E_VALUE_DELTA,92711,selected,SWDR (W/m²),0.055978498877277516
E_VALUE_DELTA,92711,selected,PAR (µmol/m²/s),0.049752229939839895
E_VALUE_DELTA,92711,selected,max. PAR (µmol/m²/s),0.04639107434506762
E_VALUE_DELTA,92711,selected,Tlog (degC),0.1317961387449384
E_VALUE_DELTA,92711,selected,CO2 (ppm),0.22515224411651796
E_RESPONSE_DELTA,92711,selected,p (mbar),0.22754208664380587
E_RESPONSE_DELTA,92711,selected,T (degC),0.14645710298724482
E_RESPONSE_DELTA,92711,selected,Tpot (K),0.14956582505934712
E_RESPONSE_DELTA,92711,selected,Tdew (degC),0.1553770912270092
E_RESPONSE_DELTA,92711,selected,rh (%),0.2057159215198795
E_RESPONSE_DELTA,92711,selected,VPmax (mbar),0.10084229033152031
E_RESPONSE_DELTA,92711,selected,VPact (mbar),0.12578288823183742
E_RESPONSE_DELTA,92711,selected,VPdef (mbar),0.08737703157274104
E_RESPONSE_DELTA,92711,selected,sh (g/kg),0.1254116015848997
E_RESPONSE_DELTA,92711,selected,H2OC (mmol/mol),0.12581891643096846
E_RESPONSE_DELTA,92711,selected,rho (g/m**3),0.17158612803796547
E_RESPONSE_DELTA,92711,selected,wv (m/s),0.4004099278514919
E_RESPONSE_DELTA,92711,selected,max. wv (m/s),0.4055793513403429
E_RESPONSE_DELTA,92711,selected,wd (deg),0.5243671704842487
E_RESPONSE_DELTA,92711,selected,rain (mm),0.03584326980307701
E_RESPONSE_DELTA,92711,selected,raining (s),0.19748617773541477
E_RESPONSE_DELTA,92711,selected,SWDR (W/m²),0.056009419832128475
E_RESPONSE_DELTA,92711,selected,PAR (µmol/m²/s),0.04982889616731687
E_RESPONSE_DELTA,92711,selected,max. PAR (µmol/m²/s),0.04646515723286947
E_RESPONSE_DELTA,92711,selected,Tlog (degC),0.13246772050624087
E_RESPONSE_DELTA,92711,selected,CO2 (ppm),0.2253544173135731
E_EMLOC,92711,naive_transfer_same_step,p (mbar),0.23071672819608086
E_EMLOC,92711,naive_transfer_same_step,T (degC),0.1483297133749827
E_EMLOC,92711,naive_transfer_same_step,Tpot (K),0.15120618731128893
E_EMLOC,92711,naive_transfer_same_step,Tdew (degC),0.15565516974266796
E_EMLOC,92711,naive_transfer_same_step,rh (%),0.20865388427750398
E_EMLOC,92711,naive_transfer_same_step,VPmax (mbar),0.10254796649480843
E_EMLOC,92711,naive_transfer_same_step,VPact (mbar),0.12590991287971454
E_EMLOC,92711,naive_transfer_same_step,VPdef (mbar),0.08851714253677039
E_EMLOC,92711,naive_transfer_same_step,sh (g/kg),0.12557906101758012
E_EMLOC,92711,naive_transfer_same_step,H2OC (mmol/mol),0.12600413401722463
E_EMLOC,92711,naive_transfer_same_step,rho (g/m**3),0.1724787072657189
E_EMLOC,92711,naive_transfer_same_step,wv (m/s),0.3991519516729255
E_EMLOC,92711,naive_transfer_same_step,max. wv (m/s),0.40350777109363284
E_EMLOC,92711,naive_transfer_same_step,wd (deg),0.5206897330024365
