dataset,kind,fit_id,arm,seed,lr,updates,seconds,peak_cuda_allocated_bytes,trainable_params,precision
Labour,neural_fit,Labour_LORA_s92110_lr1e-04,LORA,92110,0.0001,512,20.64000000001397,264758272.0,294912,float32
Labour,neural_fit,Labour_LORA_s92110_lr3e-04,LORA,92110,0.0003,512,21.187000000005355,265585664.0,294912,float32
Labour,neural_fit,Labour_LORA_SELF_s92110_lr1e-04,LORA_SELF,92110,0.0001,512,21.70299999997951,267689472.0,303624,float32
Labour,neural_fit,Labour_LORA_SELF_s92110_lr3e-04,LORA_SELF,92110,0.0003,512,22.187000000005355,267689472.0,303624,float32
Labour,neural_fit,Labour_LORA_POOL_s92110_lr1e-04,LORA_POOL,92110,0.0001,512,21.875,267689472.0,303624,float32
Labour,neural_fit,Labour_LORA_POOL_s92110_lr3e-04,LORA_POOL,92110,0.0003,512,21.562000000005355,267689472.0,303624,float32
Labour,neural_fit,Labour_LORA_HIER_s92110_lr1e-04,LORA_HIER,92110,0.0001,512,25.53100000001723,267689472.0,303624,float32
Labour,neural_fit,Labour_LORA_HIER_s92110_lr3e-04,LORA_HIER,92110,0.0003,512,25.828999999997905,267689472.0,303624,float32
Labour,neural_fit,Labour_LORA_s92111_lr3e-04,LORA,92111,0.0003,512,20.78200000000652,265585664.0,294912,float32
Labour,neural_fit,Labour_LORA_SELF_s92111_lr3e-04,LORA_SELF,92111,0.0003,512,21.60899999999674,267689472.0,303624,float32
Labour,neural_fit,Labour_LORA_POOL_s92111_lr3e-04,LORA_POOL,92111,0.0003,512,22.062000000005355,267689472.0,303624,float32
Labour,neural_fit,Labour_LORA_HIER_s92111_lr3e-04,LORA_HIER,92111,0.0003,512,25.125,267689472.0,303624,float32
Labour,neural_fit,Labour_LORA_s92112_lr3e-04,LORA,92112,0.0003,512,21.046999999991385,265585664.0,294912,float32
Labour,neural_fit,Labour_LORA_SELF_s92112_lr3e-04,LORA_SELF,92112,0.0003,512,21.921999999991385,267689472.0,303624,float32
Labour,neural_fit,Labour_LORA_POOL_s92112_lr3e-04,LORA_POOL,92112,0.0003,512,21.812999999994645,267689472.0,303624,float32
Labour,neural_fit,Labour_LORA_HIER_s92112_lr3e-04,LORA_HIER,92112,0.0003,512,25.078000000008615,267689472.0,303624,float32
Labour,evaluation_baseline,F0,F0,-1,0.0,0,0.9210000000020955,,0,float32
Labour,evaluation_baseline,SeasonalNaive,SeasonalNaive,-1,0.0,0,0.125,,0,float64
Labour,evaluation_baseline,AutoETS,AutoETS,-1,0.0,0,100.35899999999674,,0,float64
