dataset,arm,seed,lr,checkpoint,reconciliation,primary,bottom_rmsse,raw_mae,coherence_mae,coherence_max
Labour,LORA,92110,0.0003,512,unreconciled,0.8680586238088139,1.0577953751660627,13.155390773653407,2.1320108056011895,87.80998134613037
Labour,LORA,92110,0.0003,512,bottom_up,0.8607468950444982,1.0577953751660627,13.175612563475003,0.0,0.0
Labour,LORA,92110,0.0003,512,mint_shrink,0.9298541161567015,1.1388683602864664,13.693073522467058,3.1084756671288987e-13,4.001776687800884e-11
Labour,LORA,92110,0.0003,512,ols,0.8795825891067378,1.0679056328146777,13.166748243694062,6.856978852097276e-13,1.255102688446641e-10
Labour,LORA_SELF,92110,0.0003,512,unreconciled,0.8680785885810849,1.0578522269964243,13.158515953721054,2.1343217070716545,87.60215759277344
Labour,LORA_SELF,92110,0.0003,512,bottom_up,0.8613703907557918,1.0578522269964243,13.192456082116484,0.0,0.0
Labour,LORA_SELF,92110,0.0003,512,mint_shrink,0.9293970168589721,1.1376084528582102,13.691479515346376,3.286928357296623e-13,4.9112713895738125e-11
Labour,LORA_SELF,92110,0.0003,512,ols,0.8792757515431675,1.0675286587121666,13.165573445082831,6.824975230140072e-13,1.0368239600211382e-10
Labour,LORA_POOL,92110,0.0003,512,unreconciled,0.8674166366127528,1.05736962124577,13.141308961960341,2.135814955944093,87.76626491546631
Labour,LORA_POOL,92110,0.0003,512,bottom_up,0.8602200539770148,1.05736962124577,13.164058408636265,0.0,0.0
Labour,LORA_POOL,92110,0.0003,512,mint_shrink,0.9289453975080124,1.1385254063786223,13.674061628224461,3.2628842290010267e-13,4.729372449219227e-11
Labour,LORA_POOL,92110,0.0003,512,ols,0.8788718737697896,1.0672831549997015,13.151332451124507,6.712419286262158e-13,1.1095835361629725e-10
Labour,LORA_HIER,92110,0.0003,512,unreconciled,0.8668741263959542,1.0577557659704282,13.126946659016248,2.139312048216124,87.61011791229248
Labour,LORA_HIER,92110,0.0003,512,bottom_up,0.8600427943230362,1.0577557659704282,13.152277693174222,0.0,0.0
Labour,LORA_HIER,92110,0.0003,512,mint_shrink,0.9274585205116103,1.138211649359544,13.65261071131965,3.395609838651426e-13,4.18367562815547e-11
Labour,LORA_HIER,92110,0.0003,512,ols,0.8779964362568584,1.0672667045486255,13.135425783725406,7.033314625784983e-13,1.2187229003757238e-10
Labour,LORA,92111,0.0003,512,unreconciled,0.837315237102864,1.0505914896326496,12.350149862459464,2.8080463510601934,145.59001445770264
Labour,LORA,92111,0.0003,512,bottom_up,0.8178856891318125,1.0505914896326496,11.685425898251747,0.0,0.0
Labour,LORA,92111,0.0003,512,mint_shrink,0.910715255590842,1.1570391544801395,13.076925936612263,3.299076762613653e-13,4.547473508864641e-11
Labour,LORA,92111,0.0003,512,ols,0.8493743028962731,1.0568350744661985,12.473987254851568,7.013552059335578e-13,1.5825207810848951e-10
