dataset,seed,comparator,reconciliation,primary_difference,primary_relative_difference,bottom_relative_difference,raw_mae_difference
Labour,92110,LORA,unreconciled,-0.001184497412859753,-0.0013645361964869096,-3.744504519909153e-05,-0.02844411463715879
Labour,92110,LORA_SELF,unreconciled,-0.0012044621851307058,-0.0013875036211864478,-9.11857285303963e-05,-0.03156929470480563
Labour,92110,LORA_POOL,unreconciled,-0.0005425102167986307,-0.0006254321094383286,0.0003651937003856798,-0.01436230294409313
Labour,92110,LORA,bottom_up,-0.0007041007214619865,-0.0008180113405179545,-3.744504519909153e-05,-0.023334870300780963
Labour,92110,LORA_SELF,bottom_up,-0.0013275964327555956,-0.0015412608176498255,-9.11857285303963e-05,-0.040178388942262444
Labour,92110,LORA_POOL,bottom_up,-0.0001772596539786342,-0.00020606314995696984,0.0003651937003856798,-0.01178071546204329
Labour,92110,LORA,mint_shrink,-0.0023955956450912863,-0.002576313427522181,-0.0005766346224223007,-0.04046281114740857
Labour,92110,LORA_SELF,mint_shrink,-0.0019384963473618733,-0.00208575701470759,0.0005302320845264052,-0.03886880402672688
Labour,92110,LORA_POOL,mint_shrink,-0.0014868769964021533,-0.001600607528053688,-0.0002755819214226296,-0.02145091690481138
Labour,92110,LORA,ols,-0.0015861528498793964,-0.0018033017814622632,-0.0005983003052134617,-0.031322459968656347
Labour,92110,LORA_SELF,ols,-0.0012793152863090906,-0.0014549648208356247,-0.0002453837294233985,-0.030147661357425193
Labour,92110,LORA_POOL,ols,-0.0008754375129311764,-0.0009960923077172446,-1.5413389594876037e-05,-0.015906667399100627
Labour,92111,LORA,unreconciled,-0.0002587490829057959,-0.0003090223029991179,0.0001245339725384209,-0.010435372550578137
Labour,92111,LORA_SELF,unreconciled,-2.897467651641339e-05,-3.4613761446866675e-05,0.00013444804227846774,-0.0030225123496805395
Labour,92111,LORA_POOL,unreconciled,0.055909861763403734,0.07157409362610645,-0.0182858457231867,1.452444651826406
Labour,92111,LORA,bottom_up,-0.0010716344108299136,-0.0013102496168718725,0.0001245339725384209,-0.026618619936956023
Labour,92111,LORA_SELF,bottom_up,0.00033558210934336863,0.0004110115827915539,0.00013444804227846774,0.002045367142036625
Labour,92111,LORA_POOL,bottom_up,0.02342051699432024,0.029519419910361,-0.0182858457231867,1.0260043252963076
Labour,92111,LORA,mint_shrink,-0.00360168046217757,-0.003954782178147376,-0.0014421608049182133,-0.06098662967557722
Labour,92111,LORA_SELF,mint_shrink,-0.0006429789675904685,-0.0007083165246111189,-0.0010628547067890182,-0.01502286751911619
Labour,92111,LORA_POOL,mint_shrink,0.04907120923079589,0.05718972766507524,0.011138285455591923,1.0497038551561495
Labour,92111,LORA,ols,-7.581074164653145e-05,-8.925480955568332e-05,0.0004835136339240709,-0.00782546269270945
Labour,92111,LORA_SELF,ols,-0.0001434033934718526,-0.00016882072125645742,-4.893124951377281e-05,-0.0039296025036943405
Labour,92111,LORA_POOL,ols,0.07112230455269664,0.09139614612453117,0.006613708152282349,1.539153675781714
Labour,92112,LORA,unreconciled,4.565700675429607e-05,5.7173491014861355e-05,-0.0005131796463208049,0.0037575935178750797
Labour,92112,LORA_SELF,unreconciled,0.0001203933977812488,0.00015077543601993426,-0.000322242200272882,0.00817677872632494
Labour,92112,LORA_POOL,unreconciled,-1.874252692679601e-05,-2.3468233295242946e-05,-8.337078344278215e-05,0.001161001528366512
Labour,92112,LORA,bottom_up,-0.00014748419897381293,-0.000186638103880421,-0.0005131796463208049,0.012850882062346969
Labour,92112,LORA_SELF,bottom_up,0.00014973403443008237,0.00018955651922758499,-0.000322242200272882,0.015143530816315476
Labour,92112,LORA_POOL,bottom_up,-2.5970575040057398e-05,-3.287026259735093e-05,-8.337078344278215e-05,0.004550138209951982
Labour,92112,LORA,mint_shrink,0.0016018144203541196,0.0018197709845686472,-0.0010136994979386138,0.039746232009736815
Labour,92112,LORA_SELF,mint_shrink,0.00047610353322624643,0.0005401954025923139,-0.0012631091347735657,0.016928127670313486
Labour,92112,LORA_POOL,mint_shrink,0.0001960230341944147,0.0002223405095069797,-0.0012309802924851398,0.011320645420129338
Labour,92112,LORA,ols,-0.00015320969566967602,-0.00018756585543333593,-0.0004370313271067072,0.0028646468303623607
Labour,92112,LORA_SELF,ols,2.2218700128195934e-05,2.7206925154787953e-05,-0.0002778532950579171,0.007353182562107818
Labour,92112,LORA_POOL,ols,-2.0913585434323423e-05,-2.56074522849703e-05,-3.512292405616346e-05,0.0014157929436411365
