dataset,arm,seed,lr,checkpoint,reconciliation,origin,target_start,primary,bottom_rmsse,raw_mae,coherence_mae,coherence_max
Labour,LORA,92110,0.0003,512,unreconciled,455,2016-01-01,0.6836434048447553,1.0772293923240643,12.501689979938302,2.199332156376532,48.660651206970215
Labour,LORA,92110,0.0003,512,unreconciled,456,2016-02-01,0.7357701078996493,1.0818823988461388,14.359142523669696,2.3339233370552286,32.85198974609375
Labour,LORA,92110,0.0003,512,unreconciled,457,2016-03-01,0.708094195206106,1.0825224159221662,12.828569827025175,2.036239412095812,26.641357421875
Labour,LORA,92110,0.0003,512,unreconciled,458,2016-04-01,0.6865383833627992,1.000847848219801,11.394474626203644,1.8515222630305597,25.5836181640625
Labour,LORA,92110,0.0003,512,unreconciled,459,2016-05-01,0.7003628035482233,0.9564634369535797,11.600041879881017,1.6477680554864003,52.03847885131836
Labour,LORA,92110,0.0003,512,unreconciled,460,2016-06-01,0.6775942851254021,0.9370765490250235,10.838851223765461,1.8126685298674288,34.69913291931152
Labour,LORA,92110,0.0003,512,unreconciled,461,2016-07-01,0.6669574417490445,0.8804243017804616,10.107395683602004,1.7826880209627207,53.61167907714844
Labour,LORA,92110,0.0003,512,unreconciled,462,2016-08-01,0.7261608651485331,0.9171226691471707,11.090011148765525,1.9819934326305724,57.842095375061035
Labour,LORA,92110,0.0003,512,unreconciled,463,2016-09-01,0.8545360874828362,1.0145052230508949,13.402030881476001,2.083885669708252,58.849103927612305
Labour,LORA,92110,0.0003,512,unreconciled,464,2016-10-01,0.9193269713258152,1.0409141178911352,15.393359513795032,2.260003794006437,63.23932647705078
Labour,LORA,92110,0.0003,512,unreconciled,465,2016-11-01,0.921481491531984,1.0330942926213729,14.770497263034818,2.334473707522565,62.450419425964355
Labour,LORA,92110,0.0003,512,unreconciled,466,2016-12-01,0.9178185547117869,0.9686731059694603,15.181340122363476,2.209473428670426,59.260231018066406
Labour,LORA,92110,0.0003,512,unreconciled,467,2017-01-01,0.8554842649723758,0.9348713825012882,13.387422349065824,1.9636840290493436,45.78389263153076
Labour,LORA,92110,0.0003,512,unreconciled,468,2017-02-01,1.1212578044003352,1.05149779733769,19.627465900963397,2.135510295455219,51.79978084564209
Labour,LORA,92110,0.0003,512,unreconciled,469,2017-03-01,1.0717646970732928,0.9925337064363591,17.77406255676231,2.324394615072953,86.59578323364258
Labour,LORA,92110,0.0003,512,unreconciled,470,2017-04-01,1.0501664841208485,0.9891898997505377,17.577055890720025,1.884768763480828,51.365620613098145
Labour,LORA,92110,0.0003,512,unreconciled,471,2017-05-01,1.0329424386376445,1.053604516399133,17.51613746965454,2.0271127223968506,54.811723709106445
Labour,LORA,92110,0.0003,512,unreconciled,472,2017-06-01,0.850274037735048,0.9692340622219227,13.869096246927134,2.2352956721657202,33.68951416015625
Labour,LORA,92110,0.0003,512,unreconciled,473,2017-07-01,0.8235987276557886,0.9135755461713726,13.601103314217214,2.144040018494366,39.510475158691406
Labour,LORA,92110,0.0003,512,unreconciled,474,2017-08-01,0.8378870277687956,0.8786018769316146,13.731784747423331,2.2735344889568307,47.380059242248535
Labour,LORA,92110,0.0003,512,unreconciled,475,2017-09-01,0.8496290980823389,0.8437094405056154,14.251893732159441,2.4719862059543005,56.305203437805176
Labour,LORA,92110,0.0003,512,unreconciled,476,2017-10-01,0.7580228119709407,0.8478049908158447,12.506553472257414,2.2857543850502773,22.4290771484375
Labour,LORA,92110,0.0003,512,unreconciled,477,2017-11-01,0.7782799131633424,0.8930732492492799,12.616503207430613,2.056341770796748,41.39406204223633
Labour,LORA,92110,0.0003,512,unreconciled,478,2017-12-01,0.688205741141938,0.8851623354418938,10.90999829329968,2.196430776551453,37.20016574859619
Labour,LORA,92110,0.0003,512,unreconciled,479,2018-01-01,0.6568144122203752,0.946610952577725,9.304562775550925,2.6328979821233025,61.20219707489014
Labour,LORA,92110,0.0003,512,unreconciled,480,2018-02-01,0.8280726634580123,1.0449849147657764,14.116511720746653,2.1668119221402886,60.50611877441406
Labour,LORA,92110,0.0003,512,unreconciled,481,2018-03-01,0.7055846668652854,1.0180262306849301,10.844758707590765,2.2220974024276288,25.729095458984375
Labour,LORA,92110,0.0003,512,unreconciled,482,2018-04-01,0.7363014720737848,1.051463538458516,11.581001475578043,2.3511735291508904,37.68430709838867
Labour,LORA,92110,0.0003,512,unreconciled,483,2018-05-01,0.7667311329428044,1.0853720916986687,12.479146152261782,2.1191114138441476,40.3459529876709
Labour,LORA,92110,0.0003,512,unreconciled,484,2018-06-01,0.747090928274979,1.1068713095656144,11.48091738008468,2.358640766980355,57.98759365081787
Labour,LORA,92110,0.0003,512,unreconciled,485,2018-07-01,0.7707099042064578,1.1512197502901742,11.560804529390818,1.933024183351394,38.79055976867676
Labour,LORA,92110,0.0003,512,unreconciled,486,2018-08-01,0.8179117628617911,1.1149327479228537,12.404213437858791,1.544405295834904,28.00592041015625
Labour,LORA,92110,0.0003,512,unreconciled,487,2018-09-01,0.8680319552783964,1.0814588125705331,14.065059631600354,1.8358032089924952,55.247490882873535
Labour,LORA,92110,0.0003,512,unreconciled,488,2018-10-01,0.811047652998281,1.0033639959397207,13.052690542985667,1.824462918510214,34.48734378814697
Labour,LORA,92110,0.0003,512,unreconciled,489,2018-11-01,0.8382050437989489,1.0638235038217263,13.477396953271812,1.849692065813388,63.400025367736816
Labour,LORA,92110,0.0003,512,unreconciled,490,2018-12-01,0.771436537122179,1.0456183512990116,12.018062448846102,2.8487227269780564,87.59709358215332
Labour,LORA,92110,0.0003,512,unreconciled,491,2019-01-01,0.6664719637495677,0.9412645700702689,9.527851015008535,2.664730840259128,87.80998134613037
Labour,LORA,92110,0.0003,512,bottom_up,455,2016-01-01,0.7569547465708619,1.0772293923240643,13.735588556628313,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,456,2016-02-01,0.7894436694108504,1.0818823988461388,14.991692775911332,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,457,2016-03-01,0.7317089386832353,1.0825224159221662,13.229357725519325,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,458,2016-04-01,0.7320361020327547,1.000847848219801,12.37376224424923,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,459,2016-05-01,0.7017496266039679,0.9564634369535797,11.757427516795525,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,460,2016-06-01,0.6708452727167992,0.9370765490250235,11.06039491059229,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,461,2016-07-01,0.6144574456102656,0.8804243017804616,9.842008313852453,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,462,2016-08-01,0.6482858437475711,0.9171226691471707,10.544207442840223,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,463,2016-09-01,0.7549039789305966,1.0145052230508949,12.707278726901933,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,464,2016-10-01,0.8487019968192397,1.0409141178911352,14.769395650490134,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,465,2016-11-01,0.8672168842993779,1.0330942926213729,14.653591186267189,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,466,2016-12-01,0.8510294448108117,0.9686731059694603,14.530719682874658,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,467,2017-01-01,0.8378445480201681,0.9348713825012882,13.426683627912324,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,468,2017-02-01,1.061257984197987,1.05149779733769,18.673945511056306,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,469,2017-03-01,0.992764851242733,0.9925337064363591,16.795696569079368,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,470,2017-04-01,0.9993160483019675,0.9891898997505377,17.14922640154625,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,471,2017-05-01,1.0092136406233847,1.053604516399133,17.524087655084507,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,472,2017-06-01,0.8576171241394748,0.9692340622219227,14.193252251100981,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,473,2017-07-01,0.7726981399481019,0.9135755461713726,12.970028551709577,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,474,2017-08-01,0.7523707070021773,0.8786018769316146,13.042457138074763,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,475,2017-09-01,0.7527274779624538,0.8437094405056154,13.264645490926604,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,476,2017-10-01,0.7369442961699306,0.8478049908158447,12.465676019140018,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,477,2017-11-01,0.726191464869248,0.8930732492492799,11.994992731694515,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,478,2017-12-01,0.6967663122881578,0.8851623354418938,10.889774349230528,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,479,2018-01-01,0.7103933515633737,0.946610952577725,9.617079644685173,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,480,2018-02-01,0.8617061735962983,1.0449849147657764,13.86726720503069,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,481,2018-03-01,0.7975916899161066,1.0180262306849301,11.925809116143217,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,482,2018-04-01,0.835239777003405,1.051463538458516,12.8680719533142,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,483,2018-05-01,0.8533990568567009,1.0853720916986687,13.452189539493606,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,484,2018-06-01,0.8466491404046533,1.1068713095656144,12.879541587144825,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,485,2018-07-01,0.8718155553186542,1.1512197502901742,12.555679837808935,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,486,2018-08-01,0.8870981052563127,1.1149327479228537,12.95767567778656,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,487,2018-09-01,0.8677970438695995,1.0814588125705331,13.859468016931304,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,488,2018-10-01,0.8200630437853748,1.0033639959397207,12.934162873296085,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,489,2018-11-01,0.8190150502555569,1.0638235038217263,12.906067602414463,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,490,2018-12-01,0.7516020353191548,1.0456183512990116,11.521750058511268,0.0,0.0
Labour,LORA,92110,0.0003,512,bottom_up,491,2019-01-01,0.6598990375307847,0.9412645700702689,9.567010706536529,0.0,0.0
Labour,LORA,92110,0.0003,512,mint_shrink,455,2016-01-01,0.676721129447718,1.1068902602789468,12.639773732322567,3.191625001972707e-13,3.092281986027956e-11
Labour,LORA,92110,0.0003,512,mint_shrink,456,2016-02-01,0.7888928597273462,1.1774547421223505,15.139124971665291,2.7169949201469913e-13,1.8189894035458565e-11
Labour,LORA,92110,0.0003,512,mint_shrink,457,2016-03-01,0.7290525745197536,1.114897322781561,12.865806098822294,2.616854101832264e-13,2.3646862246096134e-11
Labour,LORA,92110,0.0003,512,mint_shrink,458,2016-04-01,0.7031863505262392,0.9792455810207902,11.327333166986024,3.186430976126508e-13,1.8189894035458565e-11
Labour,LORA,92110,0.0003,512,mint_shrink,459,2016-05-01,0.7202194592528754,0.9928646235226025,11.48639247766003,3.0564764494545947e-13,2.1827872842550278e-11
Labour,LORA,92110,0.0003,512,mint_shrink,460,2016-06-01,0.7017883584918932,0.9878507725619641,10.66985443468475,2.2846442087093395e-13,1.8189894035458565e-11
Labour,LORA,92110,0.0003,512,mint_shrink,461,2016-07-01,0.700497654529182,0.9491387285164135,10.169202638090846,2.9926938120632643e-13,2.546585164964199e-11
Labour,LORA,92110,0.0003,512,mint_shrink,462,2016-08-01,0.761849504244092,0.9997601162778118,10.840384998057605,2.7727787577351746e-13,3.092281986027956e-11
Labour,LORA,92110,0.0003,512,mint_shrink,463,2016-09-01,0.9198322661159697,1.1281372736195996,13.182617738903714,2.793450980603049e-13,1.6370904631912708e-11
Labour,LORA,92110,0.0003,512,mint_shrink,464,2016-10-01,1.0216079272815795,1.2013320219794408,16.221967655417874,2.6322284183370145e-13,1.8189894035458565e-11
Labour,LORA,92110,0.0003,512,mint_shrink,465,2016-11-01,1.0517996121368394,1.189526341736597,16.535298455539262,2.244026926592059e-13,2.000888343900442e-11
Labour,LORA,92110,0.0003,512,mint_shrink,466,2016-12-01,1.0238447214274546,1.1113428025531045,16.412676569656746,3.3936726073898703e-13,2.000888343900442e-11
Labour,LORA,92110,0.0003,512,mint_shrink,467,2017-01-01,0.9269260603121486,1.0114148890754158,14.321634009907424,2.9895773965555445e-13,2.000888343900442e-11
Labour,LORA,92110,0.0003,512,mint_shrink,468,2017-02-01,1.2015210024769467,1.2001343973593381,20.265797662914228,2.9505183221921237e-13,2.000888343900442e-11
Labour,LORA,92110,0.0003,512,mint_shrink,469,2017-03-01,1.1181632627235847,1.0958751036763223,18.020952540494125,2.6285926002446747e-13,2.1827872842550278e-11
Labour,LORA,92110,0.0003,512,mint_shrink,470,2017-04-01,1.1078124671763505,1.0672458154541298,18.28579094039435,2.7089961203438437e-13,1.6370904631912708e-11
Labour,LORA,92110,0.0003,512,mint_shrink,471,2017-05-01,1.1105165383560323,1.127956087679268,18.509545323813484,3.3235532584661763e-13,2.1827872842550278e-11
Labour,LORA,92110,0.0003,512,mint_shrink,472,2017-06-01,0.9978651560282594,1.0859023452572996,15.830486840010407,3.832567791393733e-13,2.7284841053187847e-11
Labour,LORA,92110,0.0003,512,mint_shrink,473,2017-07-01,0.910818041300266,1.0101165259282192,14.336017119580587,2.2139015766841017e-13,1.8189894035458565e-11
Labour,LORA,92110,0.0003,512,mint_shrink,474,2017-08-01,0.9227874221684582,1.0308572580128736,14.444830767528662,2.935040125170449e-13,1.4551915228366852e-11
Labour,LORA,92110,0.0003,512,mint_shrink,475,2017-09-01,0.9301905894580428,1.0065564707841,14.94593073167871,3.5927076778162377e-13,2.7284841053187847e-11
Labour,LORA,92110,0.0003,512,mint_shrink,476,2017-10-01,0.8768662480703071,1.007296335981797,13.937671118763866,3.2309957178869e-13,2.546585164964199e-11
