panel,arm,seed,variant,channel,primary
jena,F0_LONG,0,selected,p (mbar),0.23077196510463246
jena,F0_LONG,0,selected,T (degC),0.14865454022751112
jena,F0_LONG,0,selected,Tpot (K),0.15169403440648935
jena,F0_LONG,0,selected,Tdew (degC),0.15793879796024266
jena,F0_LONG,0,selected,rh (%),0.21079343439418788
jena,F0_LONG,0,selected,VPmax (mbar),0.1019404733419691
jena,F0_LONG,0,selected,VPact (mbar),0.12779110103410643
jena,F0_LONG,0,selected,VPdef (mbar),0.08980336967879189
jena,F0_LONG,0,selected,sh (g/kg),0.12718932504194908
jena,F0_LONG,0,selected,H2OC (mmol/mol),0.12762589784596007
jena,F0_LONG,0,selected,rho (g/m**3),0.1726290321702484
jena,F0_LONG,0,selected,wv (m/s),0.41231714432988104
jena,F0_LONG,0,selected,max. wv (m/s),0.4179003869601462
jena,F0_LONG,0,selected,wd (deg),0.5328373211002013
jena,F0_LONG,0,selected,rain (mm),0.037766824933281186
jena,F0_LONG,0,selected,raining (s),0.20377734412838575
jena,F0_LONG,0,selected,SWDR (W/m²),0.05950322498024807
jena,F0_LONG,0,selected,PAR (µmol/m²/s),0.05274267396105578
jena,F0_LONG,0,selected,max. PAR (µmol/m²/s),0.04914028162173585
jena,F0_LONG,0,selected,Tlog (degC),0.13627446060655268
jena,F0_LONG,0,selected,CO2 (ppm),0.22621650955299075
jena,F0_SHORT,0,selected,p (mbar),0.22107452566525562
jena,F0_SHORT,0,selected,T (degC),0.15861095754013796
jena,F0_SHORT,0,selected,Tpot (K),0.16179887976001722
jena,F0_SHORT,0,selected,Tdew (degC),0.16913359637403888
jena,F0_SHORT,0,selected,rh (%),0.21273353659068242
jena,F0_SHORT,0,selected,VPmax (mbar),0.10937362481265302
jena,F0_SHORT,0,selected,VPact (mbar),0.13535995353398908
jena,F0_SHORT,0,selected,VPdef (mbar),0.09197702077018452
jena,F0_SHORT,0,selected,sh (g/kg),0.13498883209674295
jena,F0_SHORT,0,selected,H2OC (mmol/mol),0.1353793954394373
jena,F0_SHORT,0,selected,rho (g/m**3),0.1822346115408677
jena,F0_SHORT,0,selected,wv (m/s),0.41971248935536537
jena,F0_SHORT,0,selected,max. wv (m/s),0.42437321340762785
jena,F0_SHORT,0,selected,wd (deg),0.540121127159969
jena,F0_SHORT,0,selected,rain (mm),0.04480959390362665
jena,F0_SHORT,0,selected,raining (s),0.23025136368687119
jena,F0_SHORT,0,selected,SWDR (W/m²),0.06214776941438226
jena,F0_SHORT,0,selected,PAR (µmol/m²/s),0.05542494357194027
jena,F0_SHORT,0,selected,max. PAR (µmol/m²/s),0.05146326736467398
jena,F0_SHORT,0,selected,Tlog (degC),0.1466648945599074
jena,F0_SHORT,0,selected,CO2 (ppm),0.23029664184256457
jena,SEASONAL_NAIVE,0,selected,p (mbar),0.6376780019490645
jena,SEASONAL_NAIVE,0,selected,T (degC),0.31707621901928895
