panel,arm,seed,variant,origin,timestamp,primary
jena,F0_LONG,0,selected,42048,2024-10-19T00:10:00.000000000,0.12406121882157399
jena,F0_LONG,0,selected,42192,2024-10-20T00:10:00.000000000,0.10455254161014943
jena,F0_LONG,0,selected,42336,2024-10-21T00:10:00.000000000,0.11487118927267234
jena,F0_LONG,0,selected,42480,2024-10-22T00:10:00.000000000,0.2699240808177751
jena,F0_LONG,0,selected,42624,2024-10-23T00:10:00.000000000,0.1401521888331335
jena,F0_LONG,0,selected,42768,2024-10-24T00:10:00.000000000,0.2062199806676946
jena,F0_LONG,0,selected,42912,2024-10-25T00:10:00.000000000,0.10714899782193565
jena,F0_LONG,0,selected,43056,2024-10-26T00:10:00.000000000,0.13024344512424407
jena,F0_LONG,0,selected,43200,2024-10-27T00:10:00.000000000,0.14609560857835255
jena,F0_LONG,0,selected,43344,2024-10-28T00:10:00.000000000,0.11803943300343882
jena,F0_LONG,0,selected,43488,2024-10-29T00:10:00.000000000,0.15417492629051985
jena,F0_LONG,0,selected,43632,2024-10-30T00:10:00.000000000,0.1455692827324934
jena,F0_LONG,0,selected,43776,2024-10-31T00:10:00.000000000,0.12116018556138497
jena,F0_LONG,0,selected,43920,2024-11-01T00:10:00.000000000,0.13918753035237946
jena,F0_LONG,0,selected,44064,2024-11-02T00:10:00.000000000,0.31777947105335513
jena,F0_LONG,0,selected,44208,2024-11-03T00:10:00.000000000,0.15622624971501395
jena,F0_LONG,0,selected,44352,2024-11-04T00:10:00.000000000,0.18671843728475968
jena,F0_LONG,0,selected,44496,2024-11-05T00:10:00.000000000,0.13763485852379
jena,F0_LONG,0,selected,44640,2024-11-06T00:10:00.000000000,0.1908289391727196
jena,F0_LONG,0,selected,44784,2024-11-07T00:10:00.000000000,0.17229462777719026
jena,F0_LONG,0,selected,44928,2024-11-08T00:10:00.000000000,0.1392093065868808
jena,F0_LONG,0,selected,45072,2024-11-09T00:10:00.000000000,0.191154189903282
jena,F0_LONG,0,selected,45216,2024-11-10T00:10:00.000000000,0.12197291434199149
jena,F0_LONG,0,selected,45360,2024-11-11T00:10:00.000000000,0.20053510837718797
jena,F0_LONG,0,selected,45504,2024-11-12T00:10:00.000000000,0.23394715594758692
jena,F0_LONG,0,selected,45648,2024-11-13T00:10:00.000000000,0.12575728980740297
jena,F0_LONG,0,selected,45792,2024-11-14T00:10:00.000000000,0.20680504059187568
jena,F0_LONG,0,selected,45936,2024-11-15T00:10:00.000000000,0.1367685448420492
jena,F0_LONG,0,selected,46080,2024-11-16T00:10:00.000000000,0.13298828632072476
jena,F0_LONG,0,selected,46224,2024-11-17T00:10:00.000000000,0.1572591361288157
jena,F0_LONG,0,selected,46368,2024-11-18T00:10:00.000000000,0.15527833011628436
jena,F0_LONG,0,selected,46512,2024-11-19T00:10:00.000000000,0.4694471192848563
jena,F0_LONG,0,selected,46656,2024-11-20T00:10:00.000000000,0.14337736552705216
jena,F0_LONG,0,selected,46800,2024-11-21T00:10:00.000000000,0.1765233344012463
