panel,arm,seed,step,val_primary,val_nmae,active_train_s,validation_s,checkpoint_io_s,cold_ready_s
jena,HEAD,92601,0,0.24780562359727362,0.3531245290059376,0.0,0.6024629999883473,0.013492600002791733,18.757419399975333
jena,HEAD,92601,32,0.2496753809043119,0.35517131567117727,0.46870730008231476,1.1656735999858938,0.04485610005212948,19.820700800104532
jena,HEAD,92601,64,0.25386809343845085,0.36602705747817943,0.8701970999827608,1.7073674999992363,0.07876410003518686,20.79779250000138
jena,HEAD,92601,128,0.24438322403274515,0.35169908701591246,1.5424994999193586,2.2387498000171036,0.1092826000531204,22.031995699973777
jena,HEAD,92601,256,0.24695233170946318,0.35427160921128587,2.8555301000596955,2.7780755999847315,0.13913280004635453,23.914202300074976
jena,HEAD,92601,512,0.24495368728665526,0.3512265738759802,5.5537866987288,3.3177521000034176,0.16924460005247965,27.18224719876889
jena,LORA,92601,0,0.24780562359727362,0.3531245290059376,0.0,3.6506634000106715,0.016111600038129836,4.544175400049426
jena,LORA,92601,32,0.24395578835310386,0.34849725995058123,19.333226599905174,6.893174900033046,0.056749400042463094,27.160551299981307
jena,LORA,92601,64,0.24110346076755804,0.3454235085934311,38.29830309993122,10.010852500039618,0.09894340002210811,49.28549939999357
jena,LORA,92601,128,0.2433485066002405,0.3488620080657602,76.64634979970288,13.114633799996227,0.14315760001773015,90.78154159971746
jena,LORA,92601,256,0.24878354594717264,0.35687802187197315,152.86587900010636,16.189790399977937,0.18424420000519603,170.11731400009012
jena,LORA,92601,512,0.26262849843669267,0.3688599430806733,304.8627687006956,19.285983700014185,0.22507760004373267,325.25123040075414
jena,LORAPLUS,92601,0,0.24780562359727362,0.3531245290059376,0.0,3.8373295000055805,0.0191319000441581,4.831686300050933
jena,LORAPLUS,92601,32,0.2436619369820918,0.348400509136651,19.259812499862164,7.057515099993907,0.06075290002627298,27.35330539988354
jena,LORAPLUS,92601,64,0.24091210832770818,0.3453147891080102,38.32594180002343,10.243739099998493,0.10259130003396422,49.64749710005708
jena,LORAPLUS,92601,128,0.2432033230066321,0.3488477354103706,76.36580070009222,13.38640379998833,0.14494080003350973,90.87237020011526
jena,LORAPLUS,92601,256,0.24937383777289146,0.3571540480677197,152.45418630022323,16.492052600020543,0.18729250004980713,170.10875630029477
jena,LORAPLUS,92601,512,0.2596170323289203,0.36490087335056015,304.0284515002859,19.596527500019874,0.2286162000382319,324.8288201003452
jena,HEAD,92602,0,0.24780562359727362,0.3531245290059376,0.0,0.5960144000127912,0.013479100016411394,18.757046699989587
jena,HEAD,92602,32,0.2509433502565023,0.35888279935614414,0.43303219991503283,1.0967278000316583,0.04354040004545823,19.720853599952534
jena,HEAD,92602,64,0.24780533543648223,0.35695371273091436,0.7560857998905703,1.6008500000461936,0.0737713000853546,20.578260299982503
jena,HEAD,92602,128,0.24571611179707387,0.35380357317620004,1.4137263997108676,2.1051383000449277,0.10346930008381605,21.769887199799996
jena,HEAD,92602,256,0.24727141939955036,0.35636170373007986,2.6884565005311742,2.630820800026413,0.13312370009953156,23.599954200617503
jena,HEAD,92602,512,0.24712697074886736,0.35277794166379023,5.29584850044921,3.150978400022723,0.1653248000657186,26.759704900498036
jena,LORA,92602,0,0.24780562359727362,0.3531245290059376,0.0,3.488964100019075,0.015643700025975704,4.377291900047567
jena,LORA,92602,32,0.24262763793584852,0.3467388118595889,19.091408799984492,6.675976500031538,0.05769860005239025,26.697768000070937
jena,LORA,92602,64,0.2403331304404293,0.34539750116468865,38.02736690011807,9.867917200026568,0.10003260005032644,48.86800080019748
jena,LORA,92602,128,0.23991758233486946,0.34408505335040646,76.1696279005846,13.008119900012389,0.1419950000126846,90.19242690061219
jena,LORA,92602,256,0.24076405699410505,0.34607079202363483,152.54065090161748,16.083305400039535,0.1827340999734588,169.679374501633
jena,LORA,92602,512,0.25333964015160276,0.3584351574260276,304.3069862020784,19.14991940004984,0.2235277999425307,324.5531175020733
jena,LORAPLUS,92602,0,0.24780562359727362,0.3531245290059376,0.0,3.4648049999959767,0.015542500012088567,4.329719500034116
jena,LORAPLUS,92602,32,0.2419507642983821,0.34597366735153956,19.0851671997807,6.641621499962639,0.05755570001201704,26.633716399781406
jena,LORAPLUS,92602,64,0.23995759985930715,0.3444966906658109,38.36342299974058,9.856449299957603,0.09844400000292808,49.16768829972716
jena,LORAPLUS,92602,128,0.24011522450323766,0.344216687972927,76.49217499990482,13.016249699983746,0.1404954000026919,90.49829209991731
jena,LORAPLUS,92602,256,0.24099763947294553,0.34575684843639787,152.9443122994271,16.099416899960488,0.18231860001105815,170.0754197994247
jena,LORAPLUS,92602,512,0.2549483208030272,0.3594331610965074,305.13946529873647,19.18707429995993,0.22291630000108853,325.39882789872354
