figure,element,series,label,x,y,y_low,y_high,unit,source_file
fig1_stability_gap,bar,C1 P1,bitbrains_rnd/5T/medium,-0.21,-0.04751080744949078,-0.1851,0.1018,gap ratio (dimensionless),STABILITY.csv
fig1_stability_gap,bar,C1 P2,bitbrains_rnd/5T/medium,0.21,0.29586964185359377,0.1521,0.4354,gap ratio (dimensionless),STABILITY.csv
fig1_stability_gap,bar,C4 P1,bizitobs_l2c/5T/medium,2.79,0.1143814538748599,-0.0327,0.2665,gap ratio (dimensionless),STABILITY.csv
fig1_stability_gap,bar,C4 P2,bizitobs_l2c/5T/medium,3.21,0.1599418062289438,-0.0286,0.3559,gap ratio (dimensionless),STABILITY.csv
fig1_stability_gap,bar,N1 P1,bitbrains_rnd/5T/short,4.69,-0.03674242166127821,-0.0495,-0.0207,gap ratio (dimensionless),STABILITY.csv
fig1_stability_gap,bar,N1 P2,bitbrains_rnd/5T/short,5.11,0.05001043965996253,0.0312,0.0744,gap ratio (dimensionless),STABILITY.csv
fig1_stability_gap,bar,N3 P1,electricity/H/short,6.69,-0.0026295737966300424,-0.0053,0.0019,gap ratio (dimensionless),STABILITY.csv
fig1_stability_gap,bar,N3 P2,electricity/H/short,7.11,0.0644319399036857,0.0478,0.08,gap ratio (dimensionless),STABILITY.csv
fig1_stability_gap,reference_line,zero,no change against F0,,0.0,,,gap ratio (dimensionless),contract 5.4
fig1_stability_gap,reference_line,decision threshold,decision threshold 0.10,,0.1,,,gap ratio (dimensionless),contract 6 S2a/S2b
