id,config,role,verdict,G_P1,G_P2,ci_P1,ci_P2,ach_P1,ach_P2,note
C1,bitbrains_rnd/5T/medium,candidate,UNSTABLE_GAP,-0.04751080744949078,0.29586964185359377,"[-0.1851, 0.1018]","[0.1521, 0.4354]",FULL,FULL,threshold G >= 0.1 in both periods with CI lower bound > 0
C2,bitbrains_rnd/H/short,candidate,INFEASIBLE,,,,,,,contract 5.2 feasibility
C3,bitbrains_fast_storage/H/short,candidate,INFEASIBLE,,,,,,,contract 5.2 feasibility
C4,bizitobs_l2c/5T/medium,candidate,NO_GAP,0.1143814538748599,0.1599418062289438,"[-0.0327, 0.2665]","[-0.0286, 0.3559]",FULL,FULL,threshold G >= 0.1 in both periods with CI lower bound > 0
N1,bitbrains_rnd/5T/short,control,NO_GAP / CONTROL_OK,-0.03674242166127821,0.05001043965996253,"[-0.0495, -0.0207]","[0.0312, 0.0744]",FULL,FULL,threshold G >= 0.1 in both periods with CI lower bound > 0
N2,bizitobs_l2c/H/medium,control,INFEASIBLE,,,,,,,contract 5.2 feasibility
N3,electricity/H/short,control,NO_GAP / CONTROL_OK,-0.0026295737966300424,0.0644319399036857,"[-0.0053, 0.0019]","[0.0478, 0.0800]",FULL,FULL,threshold G >= 0.1 in both periods with CI lower bound > 0
