id,config,role,period,arm,is_ach,crps,crps_official,mase,G_crps,G_crps_ci_low,G_crps_ci_high,G_mase,n_units,unit,val_crps,selected,seconds
C1,bitbrains_rnd/5T/medium,candidate,P2,SNAIVE,False,1.1692912479114508,1.1692912146149927,4.542392314855541,-0.16397744511913212,nan,nan,-0.04201719756474222,500,series,,,16.1
C4,bizitobs_l2c/5T/medium,candidate,P1,F0,False,0.32098047713648037,0.32098049744214346,0.6353903188463164,0.0,nan,nan,0.0,14,one-day time blocks,,,15.2
C4,bizitobs_l2c/5T/medium,candidate,P1,LORA,False,0.2683385009717393,0.2683385179782418,0.5080131181280371,0.16400366973832434,0.05571433328832914,0.29460693280565453,0.20047079242497615,14,one-day time blocks,0.2861487029850214,1000,8.6
C4,bizitobs_l2c/5T/medium,candidate,P1,FULL,True,0.2842662634961635,0.28426628150031813,0.5450494732665577,0.1143814538748599,-0.03270548889042795,0.26649737058957823,0.14218165260023363,14,one-day time blocks,0.2859937958573371,500,5.0
C4,bizitobs_l2c/5T/medium,candidate,P1,DL-PatchTST,False,0.6152666632275512,0.6152667021996397,1.1292951595885699,-0.9168351568184031,-2.029957583276128,-0.45517176234392887,-0.777325096232251,14,one-day time blocks,0.5094240484146231,,7.1
C4,bizitobs_l2c/5T/medium,candidate,P1,DL-NHITS,False,0.6005407925423136,0.6005408305987889,1.3188992880137371,-0.8709573800245947,-1.9555242066873364,-0.41922264123874126,-1.0757308521925135,14,one-day time blocks,0.5280219079198596,,1.0
C4,bizitobs_l2c/5T/medium,candidate,P1,SNAIVE,False,0.8965461214851638,0.8965461782330899,1.7352951537814678,-1.793148447791589,nan,nan,-1.731069552542535,14,one-day time blocks,,,2.1
C4,bizitobs_l2c/5T/medium,candidate,P2,F0,False,0.24720517224653152,0.24720516532281536,0.5826106226052736,0.0,nan,nan,0.0,14,one-day time blocks,,,5.2
C4,bizitobs_l2c/5T/medium,candidate,P2,LORA,False,0.20180050492204177,0.20180049927172408,0.49382945424695257,0.18367199566200343,0.02500012995362809,0.3560167486832329,0.1523850834736178,14,one-day time blocks,0.20486953369860592,750,2.5
C4,bizitobs_l2c/5T/medium,candidate,P2,FULL,True,0.2076667304882841,0.20766672467248617,0.4908872515812762,0.1599418062289438,-0.02864450408652162,0.355855441654209,0.15743511612238695,14,one-day time blocks,0.20305265863621147,250,2.1
C4,bizitobs_l2c/5T/medium,candidate,P2,DL-PatchTST,False,0.3216084626133522,0.3216084535900542,0.7087695668705156,-0.30097788687293375,-0.5654575668846261,-0.06097148144599181,-0.21654075530084582,14,one-day time blocks,0.5905423712596817,,3.3
C4,bizitobs_l2c/5T/medium,candidate,P2,DL-NHITS,False,0.4252590300407013,0.42525901814367884,1.0908433993836613,-0.7202675258614781,-1.3914380503917285,-0.19159798506112974,-0.8723369555222168,14,one-day time blocks,0.5967239622976185,,1.0
C4,bizitobs_l2c/5T/medium,candidate,P2,SNAIVE,False,0.5203917903137166,0.5203917756012464,1.2435997943204724,-1.1051007371105608,nan,nan,-1.1345299005353489,14,one-day time blocks,,,0.7
N1,bitbrains_rnd/5T/short,control,P1,F0,False,0.3735025116712846,0.373502512476451,0.6756618573805797,0.0,nan,nan,0.0,500,series,,,772.6
N1,bitbrains_rnd/5T/short,control,P1,LORA,False,0.3759298406560451,0.37592984144248415,0.6749603223681873,-0.006498829081226546,-0.010187873925019684,-0.0019527706087182014,0.0010382930525517265,500,series,0.5748133179469339,1000,2815.8
N1,bitbrains_rnd/5T/short,control,P1,FULL,True,0.38722589844665745,0.3872258991246707,0.6736170338180587,-0.03674242166127821,-0.04946835025284341,-0.020715103832184615,0.003026400765685396,500,series,0.559466236783506,1000,636.2
N1,bitbrains_rnd/5T/short,control,P1,DL-PatchTST,False,0.44555892307796324,0.44555892406995123,1.0259270691288618,-0.19292082156088594,-0.24216070926312577,-0.15927197044226968,-0.5184031152893516,500,series,0.5716235176077098,,87.3
N1,bitbrains_rnd/5T/short,control,P1,DL-NHITS,False,0.41868214968301365,0.41868215062333963,0.9452885773738041,-0.12096207281061372,-0.1506604864806928,-0.09824874476128928,-0.3990557067088544,500,series,0.5601080490831296,,85.1
N1,bitbrains_rnd/5T/short,control,P1,SNAIVE,False,1.2157358314772462,1.2157358417020845,1.0698956223334182,-2.2549602572611387,nan,nan,-0.5834779048816109,500,series,,,121.3
N1,bitbrains_rnd/5T/short,control,P2,F0,False,0.41574517503327624,0.41574517396954164,1.6181369284034437,0.0,nan,nan,0.0,500,series,,,908.8
N1,bitbrains_rnd/5T/short,control,P2,LORA,False,0.4133520184655294,0.41335201746663464,1.6182126963100363,0.00575630629400644,-0.0009946519486722732,0.012831568633146844,-4.682416256783692e-05,500,series,0.3721050245124125,1000,2816.2
N1,bitbrains_rnd/5T/short,control,P2,FULL,True,0.394953576043354,0.39495357507238404,1.616085871368484,0.05001043965996253,0.0312319189078337,0.07435828664178311,0.0012675423191678666,500,series,0.35612094234288644,750,975.7
N1,bitbrains_rnd/5T/short,control,P2,DL-PatchTST,False,0.4520427393863874,0.4520427383512629,1.961791757085869,-0.08730724138940614,-0.13278163345877067,-0.04446245879440837,-0.21237685306489906,500,series,0.43226717224703864,,124.6
N1,bitbrains_rnd/5T/short,control,P2,DL-NHITS,False,0.4232577641644595,0.4232577632271861,1.873020816846378,-0.018070177556677447,-0.06109810286375714,0.020677019668027426,-0.15751688498600602,500,series,0.4138510134850674,,112.6
N1,bitbrains_rnd/5T/short,control,P2,SNAIVE,False,1.1015904506838838,1.101590434872782,1.9708126370846561,-1.6496770542092583,nan,nan,-0.2179517088391182,500,series,,,178.0
N3,electricity/H/short,control,P1,F0,False,0.058785000211126634,0.05878500205545066,0.7110350433106477,0.0,nan,nan,0.0,370,series,,,174.3
N3,electricity/H/short,control,P1,LORA,False,0.058891456146924114,0.05889145799068358,0.7120119706355015,-0.0018109370658355444,-0.0023623585083296975,-0.0009231748086034466,-0.0013739510225896933,370,series,0.05316254730322123,250,186.8
N3,electricity/H/short,control,P1,FULL,True,0.058939579707316704,0.05893958155313412,0.7106582634248413,-0.0026295737966300424,-0.005306324492311027,0.0019259296171627788,0.0005299033983643035,370,series,0.05289632236813225,1000,174.1
N3,electricity/H/short,control,P1,DL-PatchTST,False,0.07469871899200903,0.07469872133483349,0.8758134825894681,-0.27071053370295467,-0.329810786829795,-0.200735134557906,-0.23174447002161258,370,series,0.06332112384366302,,147.6
N3,electricity/H/short,control,P1,DL-NHITS,False,0.06874854156948818,0.06874854372362908,0.8046998774587479,-0.16949121923241356,-0.19948276843839885,-0.13257683518343513,-0.13173026425250117,370,series,0.0610769949078686,,155.1
N3,electricity/H/short,control,P1,SNAIVE,False,0.08774278719427395,0.08774278994349455,1.044575640026249,-0.49260503324224325,nan,nan,-0.46909164302592465,370,series,,,101.5
N3,electricity/H/short,control,P2,F0,False,0.06793048399125311,0.06793048313378557,0.9779270553092334,0.0,nan,nan,0.0,370,series,,,169.3
N3,electricity/H/short,control,P2,LORA,False,0.06535770023618327,0.06535769941375923,0.9422509171595135,0.03787377336220824,0.02728887830395306,0.049348547055148476,0.03648138985012401,370,series,0.043802100121260866,1000,102.0
N3,electricity/H/short,control,P2,FULL,True,0.0635535911291004,0.06355359033042206,0.9075663123558109,0.0644319399036857,0.04784867817296474,0.08002050001486086,0.07194886629982186,370,series,0.04352798049235385,750,102.0
N3,electricity/H/short,control,P2,DL-PatchTST,False,0.07604240486649333,0.07604240391271848,1.0674770131862523,-0.11941503134711556,-0.17134978769652812,-0.07607469074950525,-0.09157120399813669,370,series,0.053374602281486654,,145.5
N3,electricity/H/short,control,P2,DL-NHITS,False,0.07359593783797079,0.07359593690960775,1.0023904208174548,-0.08340075786074452,-0.16726852134646283,-0.015957250307270854,-0.02501553196162032,370,series,0.04955374771959016,,130.2
N3,electricity/H/short,control,P2,SNAIVE,False,0.10566499558711723,0.10566499426542128,1.3577726095832379,-0.555487159501512,nan,nan,-0.38841910775634725,370,series,,,99.7
