id,config,role,period,arm,is_ach,crps,crps_official,mase,G_crps,G_crps_ci_low,G_crps_ci_high,G_mase,n_units,unit,val_crps,selected,seconds
C1,bitbrains_rnd/5T/medium,candidate,P1,F0,False,0.7110635739403455,0.7110635747681324,0.9650999084939765,0.0,nan,nan,0.0,500,series,,,34.0
C1,bitbrains_rnd/5T/medium,candidate,P1,LORA,False,0.7946257692872764,0.7946257698174575,1.0183328998210273,-0.11751719313066838,-0.21421944045459854,-0.01832215556452843,-0.05515801095673088,500,series,0.5329307765325184,1000,13.1
C1,bitbrains_rnd/5T/medium,candidate,P1,FULL,True,0.744846778486172,0.7448467789916468,1.0099197740489474,-0.04751080744949078,-0.1850628308496366,0.10178430541124334,-0.04644064843494967,500,series,0.4852314104296975,250,12.7
C1,bitbrains_rnd/5T/medium,candidate,P1,DL-PatchTST,False,0.6503631015797835,0.6503631025539836,1.3447798835028364,0.08536574588428351,-0.02689969512684071,0.20935982020945285,-0.39341002073178577,500,series,0.6433450350690489,,12.7
C1,bitbrains_rnd/5T/medium,candidate,P1,DL-NHITS,False,0.6101261998753926,0.6101262006462908,1.333686263952971,0.14195267169377032,0.033355771208865514,0.25968487665210926,-0.38191523200345934,500,series,0.7035087301112664,,10.7
C1,bitbrains_rnd/5T/medium,candidate,P1,SNAIVE,False,1.1087709775239227,1.1087710106929956,1.243778819198177,-0.559313425914492,nan,nan,-0.2887565403866575,500,series,,,15.7
C1,bitbrains_rnd/5T/medium,candidate,P2,F0,False,1.0045652111341168,1.0045652186832261,4.359229699347947,0.0,nan,nan,0.0,500,series,,,32.0
C1,bitbrains_rnd/5T/medium,candidate,P2,LORA,False,0.8442306308689125,0.8442306371985876,4.3580644426379855,0.15960594542607395,0.10791627094308122,0.20925849147440226,0.0002673079397801515,500,series,0.6414036336237678,1000,32.0
C1,bitbrains_rnd/5T/medium,candidate,P2,FULL,True,0.7073448618972858,0.7073448669918183,4.36616747336223,0.29586964185359377,0.15207556678319228,0.43539877903189556,-0.001591513751918436,500,series,0.5905911032231668,500,31.9
C1,bitbrains_rnd/5T/medium,candidate,P2,DL-PatchTST,False,0.6266306380675548,0.6266306429836773,4.701358654927717,0.37621706274288347,0.23877596336105675,0.5075953215749848,-0.07848381002518548,500,series,0.7045710073235337,,11.7
C1,bitbrains_rnd/5T/medium,candidate,P2,DL-NHITS,False,0.6265664723075288,0.6265664770598929,4.618584580307621,0.3762809369038785,0.23878653816736575,0.5107246507744155,-0.059495575789105234,500,series,0.6271528083469353,,11.4
