panel,arm,seed,variant,channel,primary
ettm2,LORAPLUS,92601,fixed_final,MUFL,0.1256771407014925
ettm2,LORAPLUS,92601,fixed_final,MULL,0.26226730066946735
ettm2,LORAPLUS,92601,fixed_final,LUFL,0.0993360441856065
ettm2,LORAPLUS,92601,fixed_final,LULL,0.03478729090425354
ettm2,LORAPLUS,92601,fixed_final,OT,0.16073147582165465
ettm2,LORAPLUS,92601,budget_0.5,HUFL,0.2084457069559964
ettm2,LORAPLUS,92601,budget_0.5,HULL,0.23610028191233215
ettm2,LORAPLUS,92601,budget_0.5,MUFL,0.12585097219048216
ettm2,LORAPLUS,92601,budget_0.5,MULL,0.2641054981503827
ettm2,LORAPLUS,92601,budget_0.5,LUFL,0.09927799938146607
ettm2,LORAPLUS,92601,budget_0.5,LULL,0.034661437196917354
ettm2,LORAPLUS,92601,budget_0.5,OT,0.17025591982616073
ettm2,LORAPLUS,92601,budget_1.0,HUFL,0.2084457069559964
ettm2,LORAPLUS,92601,budget_1.0,HULL,0.23610028191233215
ettm2,LORAPLUS,92601,budget_1.0,MUFL,0.12585097219048216
ettm2,LORAPLUS,92601,budget_1.0,MULL,0.2641054981503827
ettm2,LORAPLUS,92601,budget_1.0,LUFL,0.09927799938146607
ettm2,LORAPLUS,92601,budget_1.0,LULL,0.034661437196917354
ettm2,LORAPLUS,92601,budget_1.0,OT,0.17025591982616073
ettm2,HEAD,92602,selected,HUFL,0.21026162063834386
ettm2,HEAD,92602,selected,HULL,0.23932162941162202
ettm2,HEAD,92602,selected,MUFL,0.12627389044170514
ettm2,HEAD,92602,selected,MULL,0.2644683577018009
ettm2,HEAD,92602,selected,LUFL,0.1009704101844936
ettm2,HEAD,92602,selected,LULL,0.035685978754718836
ettm2,HEAD,92602,selected,OT,0.17350680274701277
ettm2,HEAD,92602,fixed_final,HUFL,0.21026162063834386
ettm2,HEAD,92602,fixed_final,HULL,0.23932162941162202
ettm2,HEAD,92602,fixed_final,MUFL,0.12627389044170514
ettm2,HEAD,92602,fixed_final,MULL,0.2644683577018009
ettm2,HEAD,92602,fixed_final,LUFL,0.1009704101844936
ettm2,HEAD,92602,fixed_final,LULL,0.035685978754718836
ettm2,HEAD,92602,fixed_final,OT,0.17350680274701277
ettm2,HEAD,92602,budget_0.5,HUFL,0.21026162063834386
ettm2,HEAD,92602,budget_0.5,HULL,0.23932162941162202
ettm2,HEAD,92602,budget_0.5,MUFL,0.12627389044170514
ettm2,HEAD,92602,budget_0.5,MULL,0.2644683577018009
ettm2,HEAD,92602,budget_0.5,LUFL,0.1009704101844936
ettm2,HEAD,92602,budget_0.5,LULL,0.035685978754718836
ettm2,HEAD,92602,budget_0.5,OT,0.17350680274701277
ettm2,HEAD,92602,budget_1.0,HUFL,0.21026162063834386
ettm2,HEAD,92602,budget_1.0,HULL,0.23932162941162202
ettm2,HEAD,92602,budget_1.0,MUFL,0.12627389044170514
ettm2,HEAD,92602,budget_1.0,MULL,0.2644683577018009
ettm2,HEAD,92602,budget_1.0,LUFL,0.1009704101844936
ettm2,HEAD,92602,budget_1.0,LULL,0.035685978754718836
ettm2,HEAD,92602,budget_1.0,OT,0.17350680274701277
ettm2,LORA,92602,selected,HUFL,0.20677627091241008
ettm2,LORA,92602,selected,HULL,0.2353038094851944
ettm2,LORA,92602,selected,MUFL,0.1246702523216648
ettm2,LORA,92602,selected,MULL,0.26324832676095405
ettm2,LORA,92602,selected,LUFL,0.09937654478736553
ettm2,LORA,92602,selected,LULL,0.03479157224638524
ettm2,LORA,92602,selected,OT,0.1669678521151175
ettm2,LORA,92602,fixed_final,HUFL,0.20836698176377755
ettm2,LORA,92602,fixed_final,HULL,0.2369959020826238
ettm2,LORA,92602,fixed_final,MUFL,0.12446240703459338
ettm2,LORA,92602,fixed_final,MULL,0.26534716354012233
ettm2,LORA,92602,fixed_final,LUFL,0.09881324693129555
ettm2,LORA,92602,fixed_final,LULL,0.034785656413589244
ettm2,LORA,92602,fixed_final,OT,0.15595681027244876
ettm2,LORA,92602,budget_0.5,HUFL,0.20677627091241008
ettm2,LORA,92602,budget_0.5,HULL,0.2353038094851944
ettm2,LORA,92602,budget_0.5,MUFL,0.1246702523216648
ettm2,LORA,92602,budget_0.5,MULL,0.26324832676095405
ettm2,LORA,92602,budget_0.5,LUFL,0.09937654478736553
ettm2,LORA,92602,budget_0.5,LULL,0.03479157224638524
ettm2,LORA,92602,budget_0.5,OT,0.1669678521151175
ettm2,LORA,92602,budget_1.0,HUFL,0.20677627091241008
ettm2,LORA,92602,budget_1.0,HULL,0.2353038094851944
ettm2,LORA,92602,budget_1.0,MUFL,0.1246702523216648
ettm2,LORA,92602,budget_1.0,MULL,0.26324832676095405
ettm2,LORA,92602,budget_1.0,LUFL,0.09937654478736553
ettm2,LORA,92602,budget_1.0,LULL,0.03479157224638524
ettm2,LORA,92602,budget_1.0,OT,0.1669678521151175
ettm2,LORAPLUS,92602,selected,HUFL,0.2069833813895371
ettm2,LORAPLUS,92602,selected,HULL,0.23624203053640047
ettm2,LORAPLUS,92602,selected,MUFL,0.12468925245186598
ettm2,LORAPLUS,92602,selected,MULL,0.2637205038177064
ettm2,LORAPLUS,92602,selected,LUFL,0.09869305163035255
ettm2,LORAPLUS,92602,selected,LULL,0.034671946952289416
ettm2,LORAPLUS,92602,selected,OT,0.1646694502494982
ettm2,LORAPLUS,92602,fixed_final,HUFL,0.20809922576088966
ettm2,LORAPLUS,92602,fixed_final,HULL,0.2368509408103196
ettm2,LORAPLUS,92602,fixed_final,MUFL,0.12437917238629133
ettm2,LORAPLUS,92602,fixed_final,MULL,0.2641179918575843
