panel,arm,seed,variant,step,primary,nmae,raw_mae,nrmse,coverage80,width80,crossing
ettm2,F0_LONG,0,selected,0,0.16826613213184746,0.23966425259302673,1.8328071397732755,0.35194296444907053,0.757820197044335,0.6730564773672701,0.0017179802955665025
ettm2,F0_SHORT,0,selected,0,0.17456145794684877,0.24865858064873383,1.9008331197490498,0.36166028214159907,0.7478037766830871,0.6768590320119081,0.0022772988505747127
ettm2,SEASONAL_NAIVE,0,selected,0,0.300662101929862,0.30066210191792114,2.264808429771792,0.4281799016834248,0.04183087027914614,0.0,0.0
ettm2,HEAD,92601,selected,512,0.16472215149639874,0.23476723150193277,1.7861037546478702,0.34228619331860966,0.7595032840722495,0.680754467679663,0.004793206075533662
ettm2,HEAD,92601,fixed_final,512,0.16472215149639874,0.23476723150193277,1.7861037546478702,0.34228619331860966,0.7595032840722495,0.680754467679663,0.004793206075533662
ettm2,HEAD,92601,budget_0.5,512,0.16472215149639874,0.23476723150193277,1.7861037546478702,0.34228619331860966,0.7595032840722495,0.680754467679663,0.004793206075533662
ettm2,HEAD,92601,budget_1.0,512,0.16472215149639874,0.23476723150193277,1.7861037546478702,0.34228619331860966,0.7595032840722495,0.680754467679663,0.004793206075533662
ettm2,LORA,92601,selected,512,0.16034004005171268,0.22983590562361816,1.7349787545146342,0.3347349189702193,0.7393165024630541,0.6118872825982041,0.0013264573070607554
ettm2,LORA,92601,fixed_final,512,0.16034004005171268,0.22983590562361816,1.7349787545146342,0.3347349189702193,0.7393165024630541,0.6118872825982041,0.0013264573070607554
ettm2,LORA,92601,budget_0.5,128,0.1624123024512597,0.2326327622678683,1.7664711748139053,0.3410140254989003,0.7838054187192118,0.7000623639417135,0.0013444170771756978
ettm2,LORA,92601,budget_1.0,512,0.16034004005171268,0.22983590562361816,1.7349787545146342,0.3347349189702193,0.7393165024630541,0.6118872825982041,0.0013264573070607554
ettm2,LORAPLUS,92601,selected,128,0.16267111651624822,0.23287211442629488,1.768873770335662,0.34204783706830905,0.7816502463054187,0.6978572114808096,0.0012925903119868638
ettm2,LORAPLUS,92601,fixed_final,512,0.1609131641125514,0.2304496924033149,1.7449151477796827,0.336974091331976,0.7439449917898193,0.6175749029109209,0.0010868226600985222
ettm2,LORAPLUS,92601,budget_0.5,128,0.16267111651624822,0.23287211442629488,1.768873770335662,0.34204783706830905,0.7816502463054187,0.6978572114808096,0.0012925903119868638
ettm2,LORAPLUS,92601,budget_1.0,128,0.16267111651624822,0.23287211442629488,1.768873770335662,0.34204783706830905,0.7816502463054187,0.6978572114808096,0.0012925903119868638
ettm2,HEAD,92602,selected,512,0.16435552712567103,0.2342095234944028,1.7822289021945599,0.34262026330885725,0.7572249589490969,0.6699010848351338,0.006863197865353038
ettm2,HEAD,92602,fixed_final,512,0.16435552712567103,0.2342095234944028,1.7822289021945599,0.34262026330885725,0.7572249589490969,0.6699010848351338,0.006863197865353038
ettm2,HEAD,92602,budget_0.5,512,0.16435552712567103,0.2342095234944028,1.7822289021945599,0.34262026330885725,0.7572249589490969,0.6699010848351338,0.006863197865353038
ettm2,HEAD,92602,budget_1.0,512,0.16435552712567103,0.2342095234944028,1.7822289021945599,0.34262026330885725,0.7572249589490969,0.6699010848351338,0.006863197865353038
ettm2,LORA,92602,selected,128,0.16159066123272733,0.23137151744151596,1.754029049718386,0.33945643636109885,0.7842364532019704,0.6888058519258297,0.0011843185550082101
ettm2,LORA,92602,fixed_final,512,0.16067545257692153,0.23036482706538217,1.7355675469270095,0.33675021941913946,0.746561986863711,0.622155886179468,0.0018631978653530377
ettm2,LORA,92602,budget_0.5,128,0.16159066123272733,0.23137151744151596,1.754029049718386,0.33945643636109885,0.7842364532019704,0.6888058519258297,0.0011843185550082101
ettm2,LORA,92602,budget_1.0,128,0.16159066123272733,0.23137151744151596,1.754029049718386,0.33945643636109885,0.7842364532019704,0.6888058519258297,0.0011843185550082101
ettm2,LORAPLUS,92602,selected,256,0.16138137386109283,0.23053583678399708,1.743305659983612,0.33953472652901084,0.7568349753694581,0.636742414358051,0.001222803776683087
ettm2,LORAPLUS,92602,fixed_final,512,0.16110256506663717,0.2314011800212162,1.748065322405148,0.33737018833870847,0.7576765188834155,0.6463902989031266,0.0014239532019704433
ettm2,LORAPLUS,92602,budget_0.5,64,0.16358528739814102,0.23389482334237244,1.7809451507669918,0.34400672111131975,0.7748973727422003,0.6805792892391073,0.0014839901477832513
ettm2,LORAPLUS,92602,budget_1.0,256,0.16138137386109283,0.23053583678399708,1.743305659983612,0.33953472652901084,0.7568349753694581,0.636742414358051,0.001222803776683087
