panel,arm,seed,variant,origin,timestamp,primary
ettm2,F0_LONG,0,selected,55680,2018-02-01T00:00:00.000000000,0.2680619026766899
ettm2,F0_LONG,0,selected,55776,2018-02-02T00:00:00.000000000,0.20035823153847124
ettm2,F0_LONG,0,selected,55872,2018-02-03T00:00:00.000000000,0.12998660432722714
ettm2,F0_LONG,0,selected,55968,2018-02-04T00:00:00.000000000,0.12071548198094151
ettm2,F0_LONG,0,selected,56064,2018-02-05T00:00:00.000000000,0.19027125489379168
ettm2,F0_LONG,0,selected,56160,2018-02-06T00:00:00.000000000,0.48438892381977017
ettm2,F0_LONG,0,selected,56256,2018-02-07T00:00:00.000000000,0.2815356525964515
ettm2,F0_LONG,0,selected,56352,2018-02-08T00:00:00.000000000,0.5881146201455545
ettm2,F0_LONG,0,selected,56448,2018-02-09T00:00:00.000000000,0.41504797046318537
ettm2,F0_LONG,0,selected,56544,2018-02-10T00:00:00.000000000,0.09286698790108969
ettm2,F0_LONG,0,selected,56640,2018-02-11T00:00:00.000000000,0.15799216232296148
ettm2,F0_LONG,0,selected,56736,2018-02-12T00:00:00.000000000,0.11737541461638294
ettm2,F0_LONG,0,selected,56832,2018-02-13T00:00:00.000000000,0.29383551379354195
ettm2,F0_LONG,0,selected,56928,2018-02-14T00:00:00.000000000,0.13254906709780243
ettm2,F0_LONG,0,selected,57024,2018-02-15T00:00:00.000000000,0.24887963356190865
ettm2,F0_LONG,0,selected,57120,2018-02-16T00:00:00.000000000,0.11506355403524841
ettm2,F0_LONG,0,selected,57216,2018-02-17T00:00:00.000000000,0.10872658518495429
ettm2,F0_LONG,0,selected,57312,2018-02-18T00:00:00.000000000,0.14790166573119373
ettm2,F0_LONG,0,selected,57408,2018-02-19T00:00:00.000000000,0.09964874527328552
ettm2,F0_LONG,0,selected,57504,2018-02-20T00:00:00.000000000,0.1489924652552614
ettm2,F0_LONG,0,selected,57600,2018-02-21T00:00:00.000000000,0.22832166724553396
ettm2,F0_LONG,0,selected,57696,2018-02-22T00:00:00.000000000,0.2198248015304945
