panel,arm,seed,step,val_primary,val_nmae,active_train_s,validation_s,checkpoint_io_s,cold_ready_s
ettm2,HEAD,92601,0,0.1580954514255266,0.22185120658258586,0.0,0.3922921000048518,0.00455750001128763,45.893826799991075
ettm2,HEAD,92601,32,0.157986855386185,0.22270598388845791,0.3886197001556866,0.7168298999895342,0.010865500022191554,46.61329230014235
ettm2,HEAD,92601,64,0.16191714945394065,0.23116711093006123,0.6949859999585897,1.0435870999936014,0.016663300048094243,47.25221359997522
ettm2,HEAD,92601,128,0.15723733066979476,0.22140086404777762,1.2329398001893423,1.379346500034444,0.02249540004413575,48.13175890024286
ettm2,HEAD,92601,256,0.15841905742880963,0.22329804690352095,2.4145648007979617,1.7090278000105172,0.028926700062584132,49.649496500846
ettm2,HEAD,92601,512,0.15637357243019415,0.21992296546101736,4.67218250175938,2.0855615999898873,0.03686720004770905,52.29158850177191
ettm2,LORA,92601,0,0.1580954514255266,0.22185120658258586,0.0,6.035962799971458,0.019805299991276115,6.904659499938134
ettm2,LORA,92601,32,0.15426070023411587,0.21596445037180648,19.353250700223725,11.748532300000079,0.06403299997327849,32.01470740017248
ettm2,LORA,92601,64,0.15249723448967956,0.21389069315811948,38.37136450014077,17.177675900049508,0.1069722999818623,56.50490410014754
ettm2,LORA,92601,128,0.15140814019164325,0.21212675540579715,75.63663090014597,22.59066010004608,0.1485075000091456,99.2246899001766
ettm2,LORA,92601,256,0.15154957532962934,0.2134007793022927,150.9811353001278,28.068264300061855,0.1897326000034809,180.08802360016853
ettm2,LORA,92601,512,0.1512491554223371,0.21256136774949033,300.3297337000258,33.42090070003178,0.2305153000052087,334.8300411000382
ettm2,LORAPLUS,92601,0,0.1580954514255266,0.22185120658258586,0.0,5.611611400032416,0.019842100038658828,6.511827200069092
ettm2,LORAPLUS,92601,32,0.15404731923213047,0.21567854618051277,18.87924920016667,11.058964700030629,0.14177380001638085,30.960361400211696
ettm2,LORAPLUS,92601,64,0.15298265191665736,0.21455127299808763,37.47388590028277,16.440313400060404,0.1831749000120908,54.97774790035328
ettm2,LORAPLUS,92601,128,0.15160086755477326,0.2124726138688291,74.92596970009618,21.808947800076567,0.22506610001437366,97.84035730018513
ettm2,LORAPLUS,92601,256,0.15200978599208173,0.2139146954918749,195.17525499942712,35.075924700067844,0.32652810000581667,231.4580814994988
ettm2,LORAPLUS,92601,512,0.15246843306020955,0.21410095838970827,546.958822099783,47.82012810010929,0.41739090002374724,596.076714799914
ettm2,HEAD,92602,0,0.1580954514255266,0.22185120658258586,0.0,0.37233309994917363,0.0048747999826446176,45.79306239989819
ettm2,HEAD,92602,32,0.15794165409268884,0.22248857052011348,0.3471989000099711,0.6831231999676675,0.011077500006649643,46.45725409995066
ettm2,HEAD,92602,64,0.15908988027646773,0.2252805899442373,0.5964905000873841,0.993125399982091,0.016878000053111464,47.02234840008896
ettm2,HEAD,92602,128,0.15740637157779402,0.22232766756972824,1.1187428997945972,1.3074785999488086,0.023109600064344704,47.86518559977412
ettm2,HEAD,92602,256,0.1590122157993452,0.22451740991234823,2.1151536994148046,1.6136372999753803,0.02882360009243712,49.173469099448994
ettm2,HEAD,92602,512,0.15701262303849184,0.22034397955540086,4.147483300417662,1.9339671999332495,0.03479290008544922,51.53209790040273
ettm2,LORA,92602,0,0.1580954514255266,0.22185120658258586,0.0,5.629439000040293,0.016966699971817434,6.445458800008055
ettm2,LORA,92602,32,0.1540100523511794,0.2156402750886134,19.09756820020266,11.061219400027767,0.05978399998275563,31.017624700209126
ettm2,LORA,92602,64,0.15316192037909954,0.21446233333665626,37.86423919984372,16.454812500043772,0.10160150000592694,55.21970629988937
ettm2,LORA,92602,128,0.15106852327629644,0.2119258399247418,75.48981349996757,21.866129300033208,0.14496639999561012,98.29996229999233
ettm2,LORA,92602,256,0.15115098345839534,0.2118721668983539,151.48962409992237,27.377209600061178,0.1887416999670677,179.85462849994656
ettm2,LORA,92602,512,0.15197893973316315,0.2134923753881586,303.3306127997348,32.79471410001861,0.23113199992803857,337.1555119996774
ettm2,LORAPLUS,92602,0,0.1580954514255266,0.22185120658258586,0.0,13.367108599981293,0.03151380002964288,14.45482440001797
ettm2,LORAPLUS,92602,32,0.154048428371651,0.21573443770837258,41.58587360015372,19.709186199994292,0.1623169999802485,62.51357880013529
ettm2,LORAPLUS,92602,64,0.1534732790209413,0.21486332560847024,86.85424549994059,33.02992719999747,0.24914329999592155,121.18951799994102
ettm2,LORAPLUS,92602,128,0.15144421251847692,0.21247030808025438,173.62320710008498,46.311227999976836,0.3300400000298396,221.3206771000987
ettm2,LORAPLUS,92602,256,0.15131040315399172,0.212139681136844,260.31727619981393,51.74610429996392,0.371428000042215,313.4910104998271
ettm2,LORAPLUS,92602,512,0.1523522145776302,0.21412622483495997,411.2560137999244,57.17533790000016,0.4138866000575945,469.9014402999892
